customer_id,age,gender,location,signup_date,device_type,acquisition_channel
C000087,18,Female,Nagpur,2025-09-15,iOS,Organic
C000088,25,Male,Vadodara,2025-08-16,iOS,Organic
C000089,20,Female,Delhi,2025-07-09,iOS,Referral
C000090,22,Female,Kolkata,2025-02-13,Android,Partner
C000091,29,Female,Mumbai,2024-11-22,iOS,Organic
C000092,26,Female,Thane,2025-11-21,Android,Referral
C000093,20,Male,Thane,2024-10-05,Android,Partner
C000094,18,Female,Indore,2024-08-21,iOS,Organic
C000095,35,Male,Pune,2024-10-24,iOS,Organic
C000096,39,Male,Chennai,2024-12-07,iOS,Referral
C000097,28,Male,Ghaziabad,2024-12-14,iOS,Referral
C000098,29,Male,Bhopal,2025-09-09,iOS,Ads
C000099,32,Female,Visakhapatnam,2024-09-07,Android,Organic
C000100,47,Female,Surat,2025-08-02,Android,Ads
C000101,18,Female,Thane,2025-07-29,Web,Referral
C000102,27,Male,Ghaziabad,2025-10-26,Android,Ads
C000103,18,Female,Bhopal,2025-03-18,iOS,Organic
C000104,35,Female,Bangalore,2024-07-15,iOS,Referral
C000105,30,Male,Kolkata,2024-10-29,Android,Ads
C000106,34,Male,Nagpur,2025-04-03,Web,Partner
C000107,33,Female,Mumbai,2025-06-17,iOS,Partner
C000108,41,Female,Indore,2024-10-26,iOS,Referral
C000109,37,Female,Delhi,2025-04-30,Android,Partner
C000110,40,Female,Delhi,2025-09-22,Android,Partner
C000111,21,Female,Thane,2024-12-12,Android,Ads
C000112,43,Male,Patna,2025-10-11,iOS,Referral
C000113,24,Female,Jaipur,2024-07-07,iOS,Referral
C000114,25,Male,Bangalore,2025-03-30,Android,Ads
C000115,34,Female,Hyderabad,2025-11-28,iOS,Organic
C000116,35,Female,Thane,2025-01-02,Android,Ads
C000117,21,Female,Chennai,2024-10-20,iOS,Organic
C000118,30,Other,Ghaziabad,2025-05-05,Android,Organic
C000119,46,Male,Ghaziabad,2025-01-23,Android,Organic
C000120,18,Female,Chennai,2024-12-07,Android,Partner
C000121,46,Female,Lucknow,2025-07-21,Web,Ads
C000122,29,Other,Bhopal,2024-12-16,Android,Organic
C000123,18,Female,Kanpur,2024-07-04,Android,Ads
C000124,18,Male,Indore,2025-05-31,Android,Organic
C000125,22,Female,Surat,2025-11-16,Android,Referral
C000126,25,Female,Vadodara,2024-07-23,iOS,Organic
C000127,30,Male,Kolkata,2024-10-26,iOS,Organic
C000128,18,Female,Lucknow,2025-07-10,Android,Partner
C000129,33,Female,Ghaziabad,2025-05-14,Android,Ads
C000130,21,Female,Bangalore,2025-03-06,Android,Partner
C000131,45,Male,Thane,2024-09-01,Web,Ads
C000132,29,Female,Surat,2025-03-07,iOS,Organic
C000133,41,Female,Delhi,2024-09-22,iOS,Ads
C000134,43,Female,Kolkata,2024-09-29,iOS,Organic
C000135,42,Male,Visakhapatnam,2025-11-13,Web,Organic
C000136,26,Male,Patna,2024-09-12,Web,Organic
C000137,26,Female,Hyderabad,2024-11-09,Android,Referral
C000138,29,Female,Jaipur,2024-11-12,Web,Referral
C000139,38,Male,Lucknow,2025-11-02,Web,Organic
C000140,26,Male,Delhi,2024-12-20,Android,Organic
C000141,30,Male,Surat,2025-04-01,iOS,Partner
C000142,34,Female,Surat,2025-09-10,iOS,Organic
C000143,22,Male,Surat,2025-02-05,iOS,Ads
C000144,22,Male,Mumbai,2025-01-25,Android,Ads
C000145,30,Male,Indore,2025-05-19,iOS,Referral
C000146,31,Female,Mumbai,2025-08-16,Android,Organic
C000147,36,Male,Jaipur,2025-07-21,iOS,Partner
C000148,38,Male,Mumbai,2025-09-25,Web,Ads
C000149,21,Female,Hyderabad,2025-10-09,iOS,Organic
C000150,23,Male,Mumbai,2024-11-04,Android,Organic
C000151,22,Male,Vadodara,2025-03-14,iOS,Organic
C000152,46,Female,Lucknow,2025-02-19,Android,Organic
C000153,30,Male,Thane,2024-09-07,iOS,Partner
C000154,32,Female,Ghaziabad,2025-06-15,iOS,Organic
C000155,32,Male,Hyderabad,2024-07-25,Android,Partner
C000156,24,Female,Ghaziabad,2025-02-24,Android,Ads
C000157,47,Male,Indore,2025-02-14,iOS,Organic
C000158,36,Female,Chennai,2024-07-11,Android,Organic
C000159,32,Male,Thane,2024-09-14,Web,Ads
C000160,20,Male,Thane,2024-09-02,Android,Referral
C000161,20,Female,Bhopal,2025-02-23,Android,Partner
C000162,28,Other,Bhopal,2024-09-11,iOS,Referral
C000163,25,Male,Hyderabad,2024-08-05,iOS,Ads
C000164,21,Female,Jaipur,2025-06-07,iOS,Organic
C000165,28,Male,Mumbai,2024-09-14,iOS,Partner
C000166,29,Female,Chennai,2025-03-04,Android,Partner
C000167,33,Male,Jaipur,2025-04-15,iOS,Ads
C000168,26,Female,Ghaziabad,2025-11-13,Android,Organic
C000169,21,Male,Chennai,2025-02-08,Android,Referral
C000170,22,Male,Hyderabad,2024-11-16,Android,Referral
C000171,44,Male,Bhopal,2025-10-31,Android,Ads
C000172,19,Male,Delhi,2025-03-09,Android,Ads
C000173,35,Female,Bhopal,2025-10-31,Android,Partner
C000174,37,Other,Patna,2025-08-24,Web,Organic
C000175,30,Female,Delhi,2025-01-14,Android,Ads
C000176,49,Male,Bhopal,2024-10-08,Android,Organic
C000177,37,Male,Mumbai,2024-10-11,iOS,Organic
C000178,50,Female,Bhopal,2025-09-18,Android,Partner
C000179,25,Other,Bangalore,2025-07-01,Android,Ads
C000180,25,Male,Thane,2025-09-10,Android,Referral
C000181,37,Female,Surat,2025-08-28,Android,Ads
C000182,29,Other,Lucknow,2025-10-25,Android,Referral
C000183,48,Female,Visakhapatnam,2024-08-28,Android,Ads
C000184,35,Male,Hyderabad,2024-10-12,Web,Organic
C000185,21,Male,Visakhapatnam,2024-09-04,Android,Partner
C000186,18,Female,Hyderabad,2025-08-20,Android,Organic
C000187,31,Female,Vadodara,2025-06-16,iOS,Ads
C000188,31,Male,Mumbai,2024-10-23,Android,Ads
C000189,35,Male,Indore,2025-03-15,Android,Organic
C000190,44,Female,Surat,2025-01-16,iOS,Organic
C000191,42,Male,Pune,2025-01-14,Web,Referral
C000192,26,Male,Visakhapatnam,2025-10-06,iOS,Organic
C000193,19,Female,Hyderabad,2024-11-24,Android,Ads
C000194,19,Female,Lucknow,2025-09-09,Web,Ads
C000195,24,Female,Visakhapatnam,2025-01-07,Android,Ads
C000196,28,Male,Hyderabad,2025-04-15,Android,Referral
C000197,35,Female,Vadodara,2025-10-20,Android,Partner
C000198,23,Female,Patna,2025-03-16,iOS,Organic
C000199,34,Male,Visakhapatnam,2024-09-19,Android,Ads
C000200,35,Female,Kolkata,2025-09-30,iOS,Organic
C000201,33,Male,Pune,2024-10-12,Web,Ads
C000202,20,Male,Kolkata,2024-08-24,Android,Ads
C000203,36,Male,Kanpur,2024-07-19,iOS,Organic
C000204,52,Male,Jaipur,2024-10-07,Android,Organic
C000205,34,Male,Patna,2025-03-03,Android,Ads
C000206,18,Female,Delhi,2024-12-21,Android,Organic
C000207,44,Male,Visakhapatnam,2025-08-24,iOS,Organic
C000208,24,Other,Mumbai,2025-11-13,Android,Partner
C000209,54,Female,Jaipur,2025-11-08,iOS,Organic
C000210,33,Male,Kolkata,2025-02-07,Web,Ads
C000211,18,Male,Delhi,2025-08-18,Web,Organic
C000212,18,Female,Kolkata,2024-09-02,Android,Partner
C000213,47,Female,Jaipur,2024-12-19,Android,Organic
C000214,43,Male,Bangalore,2025-07-27,Android,Ads
C000215,54,Male,Bhopal,2024-07-06,iOS,Ads
C000216,32,Female,Thane,2025-08-07,Web,Partner
C000217,31,Male,Kanpur,2025-04-01,iOS,Referral
C000218,28,Female,Ahmedabad,2025-10-12,iOS,Organic
C000219,25,Female,Kolkata,2025-04-22,Android,Referral
C000220,28,Male,Bangalore,2025-09-10,iOS,Referral
C000221,34,Male,Hyderabad,2025-11-14,Android,Partner
C000222,23,Male,Lucknow,2024-12-09,Android,Partner
C000223,18,Female,Indore,2025-01-14,Web,Ads
C000224,33,Male,Thane,2025-05-03,iOS,Referral
C000225,23,Male,Pune,2025-02-11,Android,Ads
C000226,18,Female,Pune,2024-09-01,Android,Ads
C000227,37,Male,Ahmedabad,2024-09-04,Android,Organic
C000228,20,Female,Lucknow,2025-05-21,iOS,Organic
C000229,38,Female,Vadodara,2024-08-31,Android,Organic
C000230,38,Male,Vadodara,2024-08-24,Web,Partner
C000231,34,Female,Delhi,2025-11-04,Android,Organic
C000232,56,Female,Thane,2025-11-30,Android,Organic
C000233,30,Male,Mumbai,2024-12-12,Android,Organic
C000234,29,Male,Lucknow,2024-08-31,Android,Ads
C000235,38,Male,Kolkata,2024-09-24,iOS,Partner
C000236,31,Female,Nagpur,2025-01-10,iOS,Referral
C000237,43,Male,Lucknow,2024-09-12,Android,Organic
C000238,19,Other,Kanpur,2024-09-11,Android,Partner
C000239,19,Female,Kolkata,2025-03-01,iOS,Organic
C000240,39,Male,Kolkata,2025-08-21,Android,Partner
C000241,20,Female,Mumbai,2024-11-03,Android,Organic
C000242,38,Male,Kanpur,2025-03-13,Android,Referral
C000243,35,Female,Lucknow,2024-08-13,iOS,Organic
C000244,25,Female,Indore,2024-09-25,Android,Partner
C000245,35,Male,Thane,2025-09-06,Android,Organic
C000246,19,Male,Hyderabad,2025-05-23,iOS,Organic
C000247,22,Female,Mumbai,2025-03-28,Web,Partner
C000248,29,Female,Ahmedabad,2025-01-29,Android,Organic
C000249,32,Female,Bangalore,2025-05-21,Android,Referral
C000250,28,Male,Indore,2025-03-05,Android,Referral
C000251,36,Male,Visakhapatnam,2025-04-01,Android,Ads
C000252,35,Male,Delhi,2025-08-13,Android,Ads
C000253,47,Female,Thane,2024-11-15,iOS,Partner
C000254,31,Male,Kolkata,2025-05-07,Web,Partner
C000255,43,Male,Chennai,2025-10-15,iOS,Ads
C000256,41,Female,Indore,2025-05-23,Android,Organic
C000257,54,Female,Vadodara,2024-09-16,iOS,Organic
C000258,30,Male,Jaipur,2024-07-13,Android,Organic
C000259,27,Male,Ahmedabad,2025-10-16,Android,Ads
C000260,44,Female,Bangalore,2024-10-14,Web,Partner
C000261,35,Male,Patna,2024-09-17,Web,Referral
C000262,44,Male,Ahmedabad,2025-02-07,Android,Referral
C000263,39,Male,Bhopal,2025-04-01,Android,Ads
C000264,18,Female,Thane,2024-11-16,Android,Organic
C000265,35,Female,Thane,2025-06-26,iOS,Referral
C000266,35,Male,Bhopal,2024-09-12,Web,Referral
C000267,33,Male,Mumbai,2025-03-11,Android,Referral
C000268,30,Female,Lucknow,2025-07-17,Android,Organic
C000269,18,Other,Vadodara,2025-04-21,Android,Ads
C000270,40,Female,Chennai,2024-12-12,Android,Organic
C000271,35,Other,Patna,2025-09-25,iOS,Organic
C000272,43,Female,Bangalore,2025-05-09,iOS,Referral
C000273,18,Female,Hyderabad,2024-07-12,Android,Organic
C000274,37,Male,Hyderabad,2025-05-06,Android,Partner
C000275,29,Male,Surat,2024-10-18,Android,Organic
C000276,33,Male,Jaipur,2024-11-18,Android,Ads
C000277,29,Female,Mumbai,2025-03-31,Android,Referral
C000278,37,Female,Bhopal,2024-10-30,Android,Ads
C000279,30,Female,Jaipur,2024-10-21,Android,Referral
C000280,21,Male,Surat,2024-12-10,Android,Referral
C000281,32,Male,Kolkata,2025-04-08,iOS,Partner
C000282,29,Male,Visakhapatnam,2025-04-18,Android,Organic
C000283,31,Male,Kanpur,2025-02-04,iOS,Organic
C000284,18,Female,Ahmedabad,2025-06-20,iOS,Ads
C000285,38,Female,Bhopal,2025-01-28,iOS,Referral
C000286,28,Male,Chennai,2025-03-31,Android,Ads
C000287,18,Male,Mumbai,2025-11-16,iOS,Organic
C000288,41,Female,Visakhapatnam,2025-03-18,Android,Organic
C000289,38,Male,Ahmedabad,2024-08-25,Web,Organic
C000290,28,Female,Lucknow,2024-10-06,iOS,Referral
C000291,20,Male,Patna,2025-09-10,Android,Organic
C000292,33,Male,Thane,2025-04-13,Android,Organic
C000293,33,Male,Ghaziabad,2024-08-18,Web,Organic
C000294,41,Male,Nagpur,2024-07-07,Web,Referral
C000295,27,Female,Lucknow,2025-06-10,Web,Partner
C000296,43,Male,Jaipur,2024-11-14,iOS,Ads
C000297,26,Male,Nagpur,2025-03-29,iOS,Organic
C000298,18,Male,Bangalore,2024-12-16,iOS,Organic
C000299,20,Male,Bangalore,2025-09-29,Android,Ads
C000300,31,Male,Mumbai,2025-09-14,Android,Ads
C000301,31,Female,Delhi,2024-07-13,iOS,Ads
C000302,35,Female,Surat,2024-10-26,Android,Partner
C000303,31,Female,Indore,2024-09-19,iOS,Partner
C000304,41,Male,Lucknow,2024-12-03,Android,Organic
C000305,29,Male,Pune,2024-08-09,iOS,Organic
C000306,18,Male,Mumbai,2025-07-17,Android,Ads
C000307,30,Male,Pune,2024-12-02,Android,Ads
C000308,18,Female,Thane,2025-09-17,Android,Ads
C000309,34,Female,Surat,2024-11-11,Android,Referral
C000310,42,Female,Kolkata,2024-08-15,Web,Organic
C000311,22,Male,Pune,2025-05-15,Android,Referral
C000312,46,Male,Pune,2025-07-12,Web,Ads
C000313,40,Female,Mumbai,2024-08-13,Android,Partner
C000314,44,Male,Lucknow,2025-07-05,Android,Referral
C000315,33,Female,Thane,2025-02-04,Android,Referral
C000316,22,Female,Ahmedabad,2025-03-16,Android,Organic
C000317,39,Female,Vadodara,2024-10-17,Android,Referral
C000318,25,Female,Bangalore,2025-07-01,Android,Organic
C000319,33,Male,Thane,2025-08-24,Web,Referral
C000320,30,Male,Hyderabad,2024-12-09,Web,Organic
C000321,43,Male,Kolkata,2025-03-03,Web,Organic
C000322,39,Female,Lucknow,2024-12-17,Web,Organic
C000323,31,Male,Patna,2025-01-01,Android,Organic
C000324,18,Female,Bhopal,2025-08-30,Android,Organic
C000325,25,Female,Patna,2024-07-29,Android,Partner
C000326,39,Female,Kolkata,2025-01-03,Android,Organic
C000327,34,Male,Vadodara,2025-06-09,iOS,Referral
C000328,18,Male,Visakhapatnam,2025-08-29,Web,Organic
C000329,18,Female,Patna,2025-03-15,iOS,Ads
C000330,33,Female,Nagpur,2025-04-03,iOS,Organic
C000331,21,Female,Pune,2024-12-14,Android,Organic
C000332,22,Male,Ghaziabad,2024-10-22,Android,Organic
C000333,38,Female,Kanpur,2025-07-30,Android,Ads
C000334,44,Female,Delhi,2024-08-12,Web,Organic
C000335,24,Male,Kanpur,2025-10-28,Web,Partner
C000336,31,Female,Kanpur,2025-02-16,iOS,Ads
C000337,31,Female,Hyderabad,2025-01-24,Android,Referral
C000338,30,Male,Hyderabad,2025-10-18,Android,Partner
C000339,32,Male,Patna,2025-06-27,Android,Referral
C000340,39,Female,Bhopal,2025-05-12,Web,Partner
C000341,25,Male,Indore,2025-02-22,Android,Organic
C000342,18,Female,Visakhapatnam,2025-02-17,Android,Referral
C000343,48,Female,Visakhapatnam,2024-07-28,Android,Organic
C000344,42,Female,Bangalore,2025-01-17,Web,Ads
C000345,20,Female,Kolkata,2025-08-16,Android,Ads
C000346,33,Male,Nagpur,2025-06-05,iOS,Partner
C000347,42,Male,Jaipur,2025-04-15,Android,Partner
C000348,39,Female,Jaipur,2024-09-13,Android,Organic
C000349,36,Male,Ahmedabad,2025-04-15,Android,Ads
C000350,30,Female,Visakhapatnam,2025-06-28,iOS,Referral
C000351,49,Female,Bhopal,2025-08-17,Web,Referral
C000352,34,Male,Bhopal,2025-06-08,Android,Organic
C000353,26,Male,Vadodara,2024-08-01,Android,Ads
C000354,40,Female,Bhopal,2024-10-30,iOS,Referral
C000355,32,Female,Indore,2025-03-28,iOS,Referral
C000356,35,Male,Ghaziabad,2025-01-02,Android,Ads
C000357,34,Female,Indore,2025-04-01,Android,Referral
C000358,36,Female,Indore,2024-08-12,iOS,Ads
C000359,22,Other,Indore,2024-10-23,iOS,Partner
C000360,18,Male,Kanpur,2025-09-21,Web,Ads
C000361,46,Male,Kolkata,2025-06-22,Web,Ads
C000362,34,Female,Ghaziabad,2025-05-21,Android,Partner
C000363,39,Female,Nagpur,2025-09-23,iOS,Organic
C000364,18,Male,Bhopal,2024-10-30,Android,Partner
C000365,42,Female,Jaipur,2025-08-02,iOS,Referral
C000366,26,Female,Delhi,2025-01-14,iOS,Partner
C000367,23,Male,Bangalore,2025-03-21,Android,Organic
C000368,31,Female,Lucknow,2024-08-18,Web,Referral
C000369,22,Female,Ghaziabad,2025-09-23,iOS,Referral
C000370,31,Male,Delhi,2024-07-05,Web,Referral
C000371,30,Male,Lucknow,2025-01-21,Android,Organic
C000372,42,Female,Ahmedabad,2025-07-11,Android,Organic
C000373,47,Male,Visakhapatnam,2025-09-18,iOS,Ads
C000374,46,Male,Mumbai,2024-09-13,Web,Ads
C000375,18,Female,Kolkata,2025-06-07,Android,Referral
C000376,22,Female,Pune,2025-05-21,Android,Ads
C000377,18,Female,Thane,2024-11-08,Android,Partner
C000378,20,Female,Patna,2025-05-07,Android,Ads
C000379,25,Male,Jaipur,2025-05-16,iOS,Organic
C000380,36,Male,Ahmedabad,2025-08-26,iOS,Organic
C000381,26,Male,Lucknow,2025-06-03,Web,Ads
C000382,27,Male,Hyderabad,2025-08-20,iOS,Ads
C000383,33,Female,Ghaziabad,2025-05-02,Android,Ads
C000384,18,Female,Ahmedabad,2024-11-11,iOS,Referral
C000385,23,Female,Mumbai,2025-01-16,iOS,Ads
C000386,26,Male,Ahmedabad,2025-09-07,Web,Partner
C000387,29,Male,Kanpur,2025-07-27,Android,Partner
C000388,32,Female,Thane,2024-12-29,Android,Organic
C000389,47,Male,Nagpur,2025-05-08,Android,Partner
C000390,41,Male,Bhopal,2025-08-23,iOS,Referral
C000391,24,Female,Patna,2024-07-04,Android,Ads
C000392,29,Male,Mumbai,2025-05-11,iOS,Ads
C000393,28,Male,Visakhapatnam,2025-04-23,iOS,Referral
C000394,26,Female,Bhopal,2025-02-04,Android,Partner
C000395,34,Male,Chennai,2025-09-17,iOS,Ads
C000396,18,Female,Ghaziabad,2025-05-29,Web,Organic
C000397,40,Male,Lucknow,2025-10-23,iOS,Ads
C000398,48,Male,Kolkata,2025-09-29,Android,Organic
C000399,29,Male,Kanpur,2025-09-29,Android,Ads
C000400,29,Female,Lucknow,2025-02-07,Android,Referral
C000401,33,Female,Visakhapatnam,2025-10-31,Android,Ads
C000402,42,Other,Delhi,2024-12-24,iOS,Organic
C000403,28,Female,Vadodara,2024-09-28,Web,Referral
C000404,41,Female,Ghaziabad,2025-04-20,iOS,Organic
C000405,36,Male,Kolkata,2025-06-12,Android,Organic
C000406,55,Male,Nagpur,2024-10-07,Android,Referral
C000407,28,Male,Jaipur,2025-03-01,Web,Partner
C000408,18,Male,Kanpur,2025-05-17,Web,Referral
C000409,18,Male,Patna,2025-02-19,Android,Ads
C000410,32,Male,Ahmedabad,2025-01-23,Android,Ads
C000411,42,Male,Patna,2024-12-01,iOS,Organic
C000412,25,Male,Delhi,2024-07-29,Android,Referral
C000413,29,Male,Ahmedabad,2024-08-20,Android,Ads
C000414,38,Female,Lucknow,2025-03-11,Android,Partner
C000415,22,Female,Jaipur,2025-11-02,Android,Partner
C000416,25,Male,Patna,2024-09-16,Android,Ads
C000417,20,Male,Ahmedabad,2025-10-13,Android,Partner
C000418,43,Male,Vadodara,2025-09-01,Android,Partner
C000419,47,Female,Bangalore,2025-01-19,iOS,Ads
C000420,18,Male,Jaipur,2025-08-01,iOS,Organic
C000421,30,Female,Nagpur,2025-11-22,Android,Referral
C000422,46,Male,Jaipur,2025-08-17,Web,Organic
C000423,35,Male,Ghaziabad,2025-03-10,Android,Ads
C000424,27,Male,Kanpur,2024-12-02,Android,Organic
C000425,18,Male,Nagpur,2024-07-09,Android,Ads
C000426,43,Female,Ahmedabad,2024-10-21,iOS,Partner
C000427,35,Female,Thane,2025-09-12,Android,Organic
C000428,18,Female,Nagpur,2025-02-13,Android,Referral
C000429,43,Female,Nagpur,2024-12-31,iOS,Organic
C000430,18,Female,Visakhapatnam,2025-10-22,Android,Referral
C000431,29,Female,Thane,2024-08-24,iOS,Referral
C000432,29,Male,Vadodara,2025-03-16,iOS,Organic
C000433,48,Male,Bangalore,2024-11-05,Web,Ads
C000434,29,Male,Indore,2025-10-14,Android,Partner
C000435,29,Female,Lucknow,2024-11-17,Android,Ads
C000436,18,Male,Visakhapatnam,2025-10-22,Web,Referral
C000437,25,Female,Ahmedabad,2025-05-24,iOS,Referral
C000438,23,Male,Patna,2025-09-30,iOS,Organic
C000439,24,Female,Kanpur,2025-09-13,Android,Partner
C000440,32,Male,Visakhapatnam,2025-10-03,Android,Ads
C000441,18,Male,Surat,2024-12-13,Android,Ads
C000442,18,Female,Jaipur,2025-11-02,Android,Organic
C000443,30,Male,Thane,2025-10-07,Android,Ads
C000444,33,Other,Jaipur,2025-03-26,Android,Referral
C000445,29,Male,Kanpur,2025-03-14,iOS,Ads
C000446,31,Male,Surat,2025-04-13,Android,Referral
C000447,27,Female,Visakhapatnam,2025-11-12,Android,Referral
C000448,31,Female,Kolkata,2025-03-05,Android,Ads
C000449,36,Male,Ahmedabad,2025-04-11,Android,Ads
C000450,36,Female,Lucknow,2025-09-27,Android,Partner
C000451,25,Female,Thane,2024-09-21,Android,Partner
C000452,41,Female,Hyderabad,2025-04-22,Android,Ads
C000453,33,Male,Patna,2025-03-01,iOS,Referral
C000454,44,Male,Surat,2025-04-08,Android,Organic
C000455,46,Female,Jaipur,2025-06-12,iOS,Organic
C000456,18,Female,Jaipur,2025-05-27,Web,Referral
C000457,23,Female,Ahmedabad,2024-09-24,iOS,Ads
C000458,40,Male,Bangalore,2024-11-22,Android,Organic
C000459,18,Male,Patna,2024-12-05,Android,Referral
C000460,46,Female,Indore,2025-02-25,iOS,Partner
C000461,28,Male,Bangalore,2025-07-31,Web,Partner
C000462,37,Male,Visakhapatnam,2024-12-07,Web,Ads
C000463,30,Male,Hyderabad,2025-02-08,Android,Ads
C000464,18,Female,Patna,2024-09-07,iOS,Organic
C000465,42,Male,Thane,2025-09-01,Web,Referral
C000466,59,Female,Vadodara,2025-08-25,iOS,Partner
C000467,26,Female,Kolkata,2025-06-07,Android,Partner
C000468,28,Female,Thane,2025-10-24,Android,Referral
C000469,18,Male,Pune,2025-09-02,Android,Organic
C000470,45,Male,Kanpur,2024-09-05,Android,Ads
C000471,41,Female,Bhopal,2025-01-31,iOS,Ads
C000472,18,Female,Jaipur,2025-09-07,Web,Partner
C000473,18,Female,Ghaziabad,2025-08-06,Web,Organic
C000474,18,Female,Chennai,2024-07-24,Android,Ads
C000475,38,Female,Surat,2025-07-28,iOS,Organic
C000476,39,Female,Delhi,2025-11-04,Android,Referral
C000477,22,Male,Bhopal,2024-07-10,iOS,Referral
C000478,36,Male,Hyderabad,2025-06-29,iOS,Ads
