ticket_id,customer_id,ticket_date,issue_type,resolution_time_hours,is_resolved
TKT000044,C000028,2025-09-12,Network,13.62,1
TKT000045,C000029,2024-11-11,Billing,74.05,0
TKT000046,C000029,2024-11-07,Refund,41.38,1
TKT000047,C000029,2024-10-19,AppBug,52.72,1
TKT000048,C000029,2024-10-31,Billing,37.3,1
TKT000049,C000031,2025-09-29,Billing,15.67,1
TKT000050,C000032,2025-02-08,AppBug,12.36,1
TKT000051,C000032,2025-09-07,Billing,30.9,1
TKT000052,C000034,2025-09-08,Billing,75.86,1
TKT000053,C000034,2025-11-19,Refund,52.84,1
TKT000054,C000034,2025-07-12,Billing,51.38,1
TKT000055,C000034,2025-07-07,Billing,72.03,1
TKT000056,C000034,2025-09-07,Refund,29.75,1
TKT000057,C000034,2025-07-20,Network,61.04,1
TKT000058,C000035,2025-09-19,Billing,6.37,1
TKT000059,C000035,2025-06-25,Account,24.36,1
TKT000060,C000037,2025-10-19,Network,11.51,1
TKT000061,C000037,2025-12-24,Network,18.16,1
TKT000062,C000038,2025-04-23,AppBug,13.96,1
TKT000063,C000038,2024-11-27,AppBug,38.72,1
TKT000064,C000038,2025-07-01,Network,36.42,1
TKT000065,C000041,2025-10-15,Network,25.71,0
TKT000066,C000043,2025-08-20,Billing,36.45,1
TKT000067,C000044,2025-02-05,Network,62.7,0
TKT000068,C000044,2025-01-22,AppBug,45.9,1
TKT000069,C000045,2025-11-23,Billing,37.14,1
TKT000070,C000045,2025-03-22,Network,23.7,1
TKT000071,C000047,2025-05-30,Network,65.48,1
TKT000072,C000047,2025-04-28,Network,20.86,1
TKT000073,C000048,2025-09-14,AppBug,14.58,1
TKT000074,C000049,2025-10-25,Network,39.1,1
TKT000075,C000050,2025-03-14,Billing,64.4,1
TKT000076,C000050,2024-10-20,Account,27.99,1
TKT000077,C000051,2025-10-17,Account,13.74,1
TKT000078,C000051,2025-11-01,Billing,37.3,0
TKT000079,C000051,2025-12-21,Network,22.95,0
TKT000080,C000052,2025-10-30,Billing,9.58,1
TKT000081,C000053,2025-11-21,AppBug,27.22,1
TKT000082,C000055,2025-05-12,Network,69.05,0
TKT000083,C000055,2025-01-11,Billing,47.15,0
TKT000084,C000056,2025-11-20,Refund,38.02,1
TKT000085,C000057,2025-07-27,AppBug,39.84,1
TKT000086,C000057,2025-12-25,Refund,11.39,1
TKT000087,C000058,2025-05-19,AppBug,2.18,1
TKT000088,C000059,2025-09-22,AppBug,22.21,1
TKT000089,C000060,2025-05-27,Account,28.93,1
TKT000090,C000060,2025-05-30,AppBug,10.82,1
TKT000091,C000061,2025-12-02,Billing,15.96,1
TKT000092,C000063,2025-06-09,Billing,54.9,1
TKT000093,C000063,2025-03-13,Network,36.0,1
TKT000094,C000063,2025-05-20,Billing,34.39,1
TKT000095,C000063,2025-06-22,Billing,21.69,0
TKT000096,C000067,2025-06-04,Account,34.17,1
TKT000097,C000067,2025-04-05,Billing,37.87,1
TKT000098,C000067,2025-06-20,Refund,56.72,1
TKT000099,C000067,2025-07-25,Refund,67.26,1
TKT000100,C000068,2025-12-19,Account,35.88,1
TKT000101,C000068,2025-06-20,Network,2.75,1
TKT000102,C000068,2025-10-16,Network,14.53,1
TKT000103,C000070,2025-03-08,Billing,67.8,1
TKT000104,C000070,2025-03-13,AppBug,21.94,1
TKT000105,C000070,2025-03-11,Refund,31.05,0
TKT000106,C000070,2025-02-26,Refund,27.78,1
TKT000107,C000070,2025-03-14,Network,65.27,1
TKT000108,C000071,2025-09-20,Account,35.67,1
TKT000109,C000072,2025-12-14,Billing,39.56,1
TKT000110,C000074,2025-07-28,Network,12.65,1
TKT000111,C000076,2025-12-21,Account,37.06,1
TKT000112,C000077,2025-06-02,Refund,69.84,0
TKT000113,C000077,2025-08-04,Refund,22.24,0
TKT000114,C000078,2025-03-26,Network,26.07,1
TKT000115,C000078,2025-12-06,AppBug,35.39,1
TKT000116,C000078,2025-07-28,Billing,19.72,1
TKT000117,C000078,2025-06-25,Billing,26.11,1
TKT000118,C000078,2025-03-12,Refund,6.66,0
TKT000119,C000080,2025-12-26,Billing,13.55,1
TKT000120,C000080,2025-12-12,Billing,9.28,0
TKT000121,C000082,2025-07-03,Network,28.08,1
TKT000122,C000083,2025-07-17,Account,20.53,1
TKT000123,C000083,2025-09-25,Refund,18.27,1
TKT000124,C000083,2025-05-10,Refund,26.1,0
TKT000125,C000084,2025-05-08,Network,68.38,1
TKT000126,C000084,2025-02-08,Refund,33.18,1
TKT000127,C000084,2025-04-01,Network,24.73,1
TKT000128,C000084,2025-02-07,AppBug,33.51,0
TKT000129,C000084,2025-03-13,Billing,72.43,1
TKT000130,C000085,2025-12-14,AppBug,27.88,1
TKT000131,C000086,2025-06-18,Billing,31.81,1
TKT000132,C000086,2025-05-20,Billing,60.26,1
TKT000133,C000087,2025-11-07,AppBug,29.56,1
TKT000134,C000087,2025-11-05,Billing,34.98,0
TKT000135,C000087,2025-10-17,Account,18.95,1
TKT000136,C000088,2025-12-25,AppBug,25.49,1
TKT000137,C000089,2025-11-02,Refund,37.32,1
TKT000138,C000091,2025-05-12,Billing,70.25,1
TKT000139,C000091,2025-06-05,Billing,26.61,0
TKT000140,C000091,2025-04-11,Refund,41.35,1
TKT000141,C000091,2025-01-07,Billing,43.24,1
TKT000142,C000092,2025-11-22,Billing,8.99,1
TKT000143,C000092,2025-12-31,AppBug,5.12,1
TKT000144,C000094,2024-09-23,Refund,40.63,1
TKT000145,C000094,2024-09-01,Account,74.86,1
TKT000146,C000094,2024-09-26,Network,54.08,0
TKT000147,C000098,2025-11-11,Network,5.82,1
TKT000148,C000099,2024-12-25,Refund,4.98,1
TKT000149,C000100,2025-10-25,Billing,70.29,1
TKT000150,C000101,2025-11-25,Billing,18.35,1
TKT000151,C000102,2025-11-29,AppBug,36.36,1
TKT000152,C000104,2025-10-02,AppBug,29.02,1
TKT000153,C000104,2024-09-14,Account,28.52,1
TKT000154,C000104,2025-12-31,Refund,2.55,1
TKT000155,C000106,2025-07-14,Network,12.75,1
TKT000156,C000107,2025-09-18,Network,35.03,1
TKT000157,C000108,2025-06-19,Network,6.46,1
TKT000158,C000109,2025-06-06,Network,8.91,1
TKT000159,C000109,2025-06-30,AppBug,38.63,1
TKT000160,C000109,2025-06-07,Account,9.88,1
TKT000161,C000110,2025-12-18,Network,26.19,1
TKT000162,C000110,2025-10-30,Billing,62.77,0
TKT000163,C000110,2025-11-16,Account,33.58,1
TKT000164,C000110,2025-11-13,Refund,56.01,1
TKT000165,C000112,2025-11-20,Refund,30.26,1
TKT000166,C000112,2025-10-19,Network,34.68,1
TKT000167,C000114,2025-09-08,Billing,32.13,1
TKT000168,C000114,2025-05-21,Refund,58.81,1
TKT000169,C000114,2025-07-13,Network,24.01,1
TKT000170,C000114,2025-06-06,Billing,60.22,1
TKT000171,C000115,2025-12-16,Refund,36.49,0
TKT000172,C000115,2025-12-08,Billing,12.35,1
TKT000173,C000116,2025-05-13,Refund,3.77,1
TKT000174,C000116,2025-12-19,Refund,29.49,1
TKT000175,C000117,2025-08-23,Account,11.81,1
TKT000176,C000117,2025-02-17,Account,22.11,1
TKT000177,C000118,2025-08-16,AppBug,49.04,0
TKT000178,C000118,2025-07-05,Network,49.72,0
TKT000179,C000118,2025-06-03,AppBug,45.23,1
TKT000180,C000118,2025-06-12,Network,61.09,0
TKT000181,C000119,2025-05-01,Network,38.67,1
TKT000182,C000120,2024-12-21,Network,26.28,1
TKT000183,C000120,2025-04-11,AppBug,29.77,1
TKT000184,C000122,2025-05-23,Account,56.69,1
TKT000185,C000122,2025-08-10,Billing,51.09,1
TKT000186,C000122,2025-08-21,Billing,48.05,1
TKT000187,C000123,2025-09-23,Billing,23.84,1
TKT000188,C000124,2025-06-27,Refund,55.32,1
TKT000189,C000124,2025-07-11,Billing,71.38,1
TKT000190,C000126,2024-08-29,Network,25.52,0
TKT000191,C000127,2025-02-06,Network,18.18,1
TKT000192,C000127,2025-01-15,Network,7.32,1
TKT000193,C000127,2025-03-14,Account,35.98,1
TKT000194,C000127,2025-01-03,Account,35.01,1
TKT000195,C000129,2025-05-21,Billing,39.17,1
TKT000196,C000129,2025-07-19,Network,58.54,0
TKT000197,C000130,2025-07-26,Account,18.97,1
TKT000198,C000131,2024-11-30,Billing,65.0,1
TKT000199,C000131,2024-09-22,Billing,30.78,0
TKT000200,C000131,2025-05-07,Network,76.98,0
TKT000201,C000131,2024-09-11,Refund,74.88,1
TKT000202,C000131,2024-09-29,Billing,31.64,1
TKT000203,C000131,2024-10-13,Network,28.03,1
TKT000204,C000131,2025-02-08,Refund,22.85,1
TKT000205,C000132,2025-08-06,AppBug,11.9,1
TKT000206,C000132,2025-04-08,Account,23.75,1
TKT000207,C000133,2025-01-04,AppBug,61.61,1
TKT000208,C000133,2024-12-24,AppBug,60.04,0
TKT000209,C000134,2025-09-07,Account,37.57,1
TKT000210,C000134,2025-08-31,Billing,16.18,1
TKT000211,C000134,2025-12-26,Billing,9.04,0
TKT000212,C000136,2024-10-28,Billing,6.1,1
TKT000213,C000136,2025-04-03,AppBug,9.74,1
TKT000214,C000137,2025-01-19,Refund,32.03,1
TKT000215,C000137,2025-03-09,Billing,53.51,1
TKT000216,C000139,2025-11-05,Billing,22.28,1
TKT000217,C000139,2025-11-20,Refund,25.54,1
TKT000218,C000140,2025-12-31,AppBug,12.55,1
TKT000219,C000140,2025-09-02,AppBug,39.03,1
TKT000220,C000141,2025-06-01,Billing,32.48,1
TKT000221,C000142,2025-10-13,AppBug,20.05,1
TKT000222,C000143,2025-11-29,Refund,5.51,1
TKT000223,C000143,2025-10-31,Account,21.63,1
TKT000224,C000144,2025-06-02,AppBug,14.18,1
TKT000225,C000145,2025-09-23,Account,33.17,1
TKT000226,C000145,2025-12-31,AppBug,20.25,1
TKT000227,C000147,2025-08-13,AppBug,16.63,1
TKT000228,C000147,2025-09-19,Account,39.52,1
TKT000229,C000149,2025-12-24,Account,21.34,1
TKT000230,C000154,2025-07-16,Refund,37.04,1
TKT000231,C000156,2025-08-03,Network,32.71,1
TKT000232,C000159,2025-03-01,Refund,14.67,1
TKT000233,C000159,2025-11-14,AppBug,37.11,1
TKT000234,C000160,2025-06-28,Account,1.59,1
TKT000235,C000162,2025-03-18,Network,60.38,1
TKT000236,C000163,2025-09-08,Billing,11.04,1
TKT000237,C000163,2025-04-03,AppBug,8.25,1
TKT000238,C000166,2025-03-31,Refund,47.41,0
TKT000239,C000166,2025-03-17,AppBug,44.79,1
TKT000240,C000166,2025-03-13,Refund,74.55,0
TKT000241,C000168,2025-11-19,Network,33.24,1
TKT000242,C000169,2025-05-08,Network,14.3,1
TKT000243,C000170,2025-03-05,Refund,22.62,1
TKT000244,C000171,2025-11-17,AppBug,33.38,1
TKT000245,C000174,2025-12-14,Account,2.76,1
TKT000246,C000176,2025-05-05,Account,22.0,1
TKT000247,C000177,2025-02-18,Network,11.29,1
TKT000248,C000179,2025-11-28,AppBug,28.29,1
TKT000249,C000180,2025-09-17,AppBug,63.66,0
TKT000250,C000180,2025-11-11,Billing,79.74,1
TKT000251,C000181,2025-11-04,Account,13.05,1
TKT000252,C000181,2025-10-14,Account,26.5,0
TKT000253,C000182,2025-11-08,Refund,52.2,1
TKT000254,C000182,2025-12-04,Account,26.02,0
TKT000255,C000183,2024-11-05,Account,56.11,0
TKT000256,C000183,2024-10-21,Refund,51.78,1
TKT000257,C000183,2024-10-27,Billing,63.84,1
TKT000258,C000183,2024-11-23,AppBug,74.02,1
TKT000259,C000184,2025-02-15,AppBug,13.07,0
TKT000260,C000185,2024-11-14,Refund,79.51,1
TKT000261,C000185,2024-10-11,Network,73.05,1
TKT000262,C000186,2025-09-12,Billing,77.56,1
TKT000263,C000186,2025-09-19,Billing,41.5,0
TKT000264,C000186,2025-10-04,Refund,77.54,1
TKT000265,C000186,2025-09-12,AppBug,23.36,1
TKT000266,C000186,2025-09-08,Billing,27.88,0
TKT000267,C000187,2025-06-21,Refund,39.37,1
TKT000268,C000190,2025-06-30,Billing,21.49,0
TKT000269,C000190,2025-06-20,Refund,79.98,0
TKT000270,C000190,2025-01-24,Billing,36.98,1
TKT000271,C000190,2025-07-24,AppBug,51.88,0
TKT000272,C000190,2025-07-04,Billing,70.32,0
TKT000273,C000190,2025-01-29,Refund,35.68,1
TKT000274,C000190,2025-07-11,Network,23.25,1
TKT000275,C000191,2025-12-23,Network,10.54,1
TKT000276,C000192,2025-11-05,Network,28.64,1
TKT000277,C000192,2025-11-07,Account,13.75,1
TKT000278,C000193,2025-09-02,Account,22.09,1
TKT000279,C000194,2025-10-28,AppBug,2.31,1
TKT000280,C000196,2025-09-20,Account,15.13,1
TKT000281,C000196,2025-10-17,Account,8.04,1
TKT000282,C000197,2025-11-04,Network,18.82,1
TKT000283,C000198,2025-12-14,Billing,24.83,1
TKT000284,C000199,2025-12-06,Network,5.73,0
TKT000285,C000200,2025-10-30,Network,31.54,1
TKT000286,C000202,2025-11-06,Refund,3.68,1
TKT000287,C000204,2025-01-28,Refund,34.78,1
TKT000288,C000207,2025-10-12,Billing,25.73,1
TKT000289,C000207,2025-08-25,Billing,67.79,1
TKT000290,C000207,2025-10-13,Refund,25.59,0
TKT000291,C000207,2025-09-25,Billing,76.02,1
TKT000292,C000207,2025-10-01,Refund,76.13,1
TKT000293,C000207,2025-09-04,AppBug,30.49,1
TKT000294,C000207,2025-12-07,Billing,54.38,1
TKT000295,C000208,2025-12-31,Refund,28.12,1
TKT000296,C000209,2025-11-23,Billing,61.72,1
TKT000297,C000209,2025-11-27,Network,64.5,1
TKT000298,C000210,2025-03-05,AppBug,48.83,0
TKT000299,C000210,2025-02-27,Billing,73.79,1
TKT000300,C000210,2025-04-04,Billing,23.36,1
TKT000301,C000210,2025-04-28,Billing,49.53,1
TKT000302,C000210,2025-03-19,AppBug,54.58,0
TKT000303,C000210,2025-04-30,Refund,20.14,0
TKT000304,C000214,2025-11-08,Billing,25.33,1
TKT000305,C000214,2025-08-04,Account,17.04,1
TKT000306,C000216,2025-10-16,Account,5.23,1
TKT000307,C000220,2025-12-29,Network,35.81,1
TKT000308,C000223,2025-02-24,Billing,3.09,1
TKT000309,C000223,2025-09-22,Billing,14.64,1
TKT000310,C000225,2025-10-10,AppBug,26.14,1
TKT000311,C000226,2025-09-13,Account,16.46,1
TKT000312,C000226,2025-03-31,Billing,32.8,1
TKT000313,C000227,2025-12-22,Refund,12.41,1
TKT000314,C000227,2025-11-08,AppBug,37.22,1
TKT000315,C000229,2025-02-17,AppBug,14.47,0
TKT000316,C000230,2025-08-26,Network,22.24,0
TKT000317,C000230,2025-03-28,AppBug,27.7,0
TKT000318,C000231,2025-11-10,Refund,71.64,1
TKT000319,C000231,2025-11-14,Refund,34.43,1
TKT000320,C000231,2025-11-20,Billing,48.59,1
TKT000321,C000231,2025-12-06,Network,44.01,1
TKT000322,C000231,2025-11-08,Network,60.86,0
TKT000323,C000231,2025-11-26,Network,52.03,1
TKT000324,C000233,2025-07-15,Network,34.14,1
TKT000325,C000234,2025-07-05,AppBug,23.54,1
TKT000326,C000234,2025-09-08,Billing,36.5,1
TKT000327,C000236,2025-10-17,Account,23.51,1
TKT000328,C000236,2025-06-26,AppBug,10.13,1
TKT000329,C000237,2025-05-02,Network,20.33,1
TKT000330,C000237,2025-09-02,Network,22.16,1
TKT000331,C000238,2024-09-12,Network,63.45,1
TKT000332,C000239,2025-03-14,Refund,37.45,1
TKT000333,C000239,2025-08-12,Billing,22.15,1
TKT000334,C000239,2025-08-12,Billing,44.26,1
TKT000335,C000239,2025-04-17,AppBug,69.43,0
TKT000336,C000240,2025-12-12,Refund,75.2,1
TKT000337,C000240,2025-09-24,Refund,23.04,1
TKT000338,C000241,2024-11-04,AppBug,34.12,1
TKT000339,C000241,2025-05-27,Network,30.01,1
TKT000340,C000241,2025-02-13,AppBug,22.76,1
TKT000341,C000242,2025-08-16,AppBug,48.26,1
TKT000342,C000244,2025-03-04,Network,37.53,1
TKT000343,C000244,2025-07-16,AppBug,15.85,0
TKT000344,C000245,2025-09-16,Account,37.84,1
TKT000345,C000246,2025-06-20,Network,37.47,0
TKT000346,C000247,2025-05-07,Billing,31.66,0
TKT000347,C000247,2025-05-30,Refund,50.63,0
TKT000348,C000247,2025-08-07,Account,42.32,0
TKT000349,C000247,2025-09-26,AppBug,55.07,1
TKT000350,C000248,2025-12-27,Billing,37.94,1
TKT000351,C000248,2025-04-05,Account,10.46,1
TKT000352,C000251,2025-10-28,AppBug,38.84,1
TKT000353,C000251,2025-09-11,Billing,37.25,1
TKT000354,C000252,2025-12-06,Network,28.0,1
TKT000355,C000252,2025-12-13,AppBug,15.77,1
TKT000356,C000256,2025-11-27,Account,19.3,1
TKT000357,C000258,2024-09-19,Billing,20.04,1
TKT000358,C000258,2024-11-23,AppBug,56.76,0
TKT000359,C000258,2024-10-09,Refund,73.82,1
TKT000360,C000258,2024-12-27,Billing,73.86,1
TKT000361,C000259,2025-11-21,Refund,16.86,0
TKT000362,C000261,2024-12-27,AppBug,29.76,1
TKT000363,C000264,2024-12-29,AppBug,28.38,1
TKT000364,C000264,2025-06-16,Account,22.81,1
TKT000365,C000265,2025-09-28,Billing,24.84,0
TKT000366,C000265,2025-08-11,Refund,23.33,1
TKT000367,C000265,2025-10-04,Refund,42.0,1
TKT000368,C000266,2025-12-04,AppBug,14.54,0
TKT000369,C000266,2025-03-24,Account,34.58,1
TKT000370,C000267,2025-05-07,Billing,75.13,1
TKT000371,C000268,2025-07-22,AppBug,13.44,1
TKT000372,C000269,2025-12-19,Account,18.69,0
TKT000373,C000269,2025-04-26,Billing,20.47,1
TKT000374,C000269,2025-12-13,Network,29.61,0
TKT000375,C000270,2025-09-23,Network,63.16,1
TKT000376,C000270,2025-04-08,Refund,62.33,1
TKT000377,C000270,2025-01-26,Billing,71.26,1
TKT000378,C000270,2025-08-05,Billing,35.55,0
TKT000379,C000270,2025-03-23,Billing,75.14,1
TKT000380,C000270,2025-04-25,AppBug,71.34,1
TKT000381,C000271,2025-12-23,Network,1.55,1
TKT000382,C000271,2025-10-16,AppBug,30.5,1
TKT000383,C000272,2025-05-21,Refund,38.35,1
TKT000384,C000274,2025-08-16,Account,10.4,1
TKT000385,C000274,2025-10-11,Account,9.56,1
TKT000386,C000274,2025-08-23,Network,26.62,1
TKT000387,C000276,2025-09-21,AppBug,2.28,1
TKT000388,C000277,2025-08-11,Network,10.0,0
TKT000389,C000278,2024-12-07,Billing,32.46,1
TKT000390,C000278,2024-11-21,AppBug,57.84,1
TKT000391,C000278,2025-02-01,Account,38.26,0
TKT000392,C000279,2025-01-16,Billing,23.54,0
TKT000393,C000279,2025-08-07,Billing,18.56,0
TKT000394,C000279,2024-12-20,AppBug,7.72,1
TKT000395,C000280,2024-12-17,Refund,9.02,1
TKT000396,C000280,2025-12-12,AppBug,4.83,1
TKT000397,C000281,2025-11-16,Network,16.26,0
TKT000398,C000281,2025-11-26,Account,29.56,1
TKT000399,C000282,2025-08-01,Refund,32.65,0
TKT000400,C000282,2025-07-13,Account,56.7,1
TKT000401,C000282,2025-06-20,Billing,30.79,1
TKT000402,C000283,2025-02-19,Account,38.67,1
TKT000403,C000283,2025-03-04,Network,69.89,0
TKT000404,C000285,2025-05-12,Network,16.37,1
TKT000405,C000286,2025-07-06,Network,15.31,1
TKT000406,C000286,2025-08-14,Account,17.39,1
TKT000407,C000287,2025-12-04,Account,2.82,1
TKT000408,C000287,2025-12-17,AppBug,2.08,1
TKT000409,C000288,2025-09-29,Refund,27.97,1
TKT000410,C000289,2024-10-30,Network,19.66,1
TKT000411,C000290,2025-01-24,Billing,67.48,1
TKT000412,C000290,2025-05-13,Billing,28.16,0
TKT000413,C000291,2025-10-06,Refund,15.32,1
TKT000414,C000292,2025-05-21,Network,49.68,0
TKT000415,C000296,2025-03-04,Billing,37.38,1
TKT000416,C000297,2025-08-20,Billing,20.95,1
TKT000417,C000298,2025-12-23,Account,39.88,1
TKT000418,C000298,2025-11-27,Account,31.03,1
TKT000419,C000298,2025-03-22,Network,34.25,0
TKT000420,C000301,2025-09-14,Refund,9.55,1
TKT000421,C000302,2025-01-26,AppBug,1.17,1
TKT000422,C000302,2025-05-23,Network,23.1,1
TKT000423,C000302,2025-12-05,Account,26.02,1
TKT000424,C000303,2024-12-02,AppBug,6.33,1
TKT000425,C000306,2025-07-24,Account,39.37,1
TKT000426,C000307,2025-04-29,AppBug,13.6,1
TKT000427,C000307,2025-04-15,AppBug,22.69,1
TKT000428,C000308,2025-10-17,Network,25.59,1
TKT000429,C000309,2025-09-23,Billing,7.8,1
TKT000430,C000309,2025-06-29,Refund,36.56,1
TKT000431,C000310,2025-11-22,Network,39.4,0
TKT000432,C000312,2025-09-13,Billing,47.79,1
TKT000433,C000312,2025-10-14,AppBug,57.42,0
TKT000434,C000312,2025-11-06,Refund,44.79,1
TKT000435,C000313,2024-08-23,Network,35.05,0
TKT000436,C000313,2024-08-14,Network,33.67,1
TKT000437,C000317,2025-06-14,AppBug,38.09,1
TKT000438,C000317,2024-12-24,Network,26.25,1
TKT000439,C000318,2025-09-21,Refund,3.79,1
TKT000440,C000318,2025-12-25,Account,27.05,1
TKT000441,C000319,2025-12-03,AppBug,36.67,1
TKT000442,C000320,2025-11-25,AppBug,27.27,1
TKT000443,C000321,2025-06-19,Refund,18.63,0
TKT000444,C000322,2025-07-01,Network,63.14,0
TKT000445,C000322,2025-07-21,Refund,59.47,1
TKT000446,C000322,2025-04-27,Network,73.62,1
TKT000447,C000322,2025-01-23,Network,74.3,1
TKT000448,C000323,2025-02-18,Billing,20.84,0
TKT000449,C000323,2025-10-13,AppBug,75.74,1
TKT000450,C000323,2025-01-31,AppBug,37.8,1
TKT000451,C000324,2025-09-05,Billing,28.52,1
TKT000452,C000325,2024-08-19,Billing,44.86,1
TKT000453,C000326,2025-05-03,Billing,5.93,1
TKT000454,C000327,2025-10-07,Network,11.26,1
TKT000455,C000327,2025-09-07,Account,9.06,1
TKT000456,C000327,2025-11-11,Account,10.79,1
TKT000457,C000329,2025-04-07,Network,9.71,1
TKT000458,C000330,2025-04-05,Account,30.07,0
TKT000459,C000330,2025-08-10,Billing,3.66,1
TKT000460,C000330,2025-12-17,Account,37.74,1
TKT000461,C000333,2025-11-04,Network,25.79,1
TKT000462,C000333,2025-10-15,AppBug,2.31,1
TKT000463,C000333,2025-11-08,Account,16.04,1
TKT000464,C000335,2025-12-09,Refund,52.78,1
TKT000465,C000335,2025-11-20,Account,45.34,1
TKT000466,C000335,2025-11-05,AppBug,71.79,1
TKT000467,C000335,2025-12-24,Refund,25.18,1
TKT000468,C000335,2025-12-02,Billing,34.41,1
TKT000469,C000335,2025-10-30,Billing,79.27,0
TKT000470,C000336,2025-12-10,Account,32.95,1
TKT000471,C000337,2025-04-25,Account,11.92,1
TKT000472,C000337,2025-06-06,Account,37.69,1
TKT000473,C000337,2025-04-20,Account,33.16,1
TKT000474,C000338,2025-12-21,Network,34.2,1
TKT000475,C000338,2025-12-20,AppBug,4.33,1
TKT000476,C000339,2025-09-21,Network,3.15,1
TKT000477,C000340,2025-09-08,Refund,40.03,1
TKT000478,C000340,2025-06-14,Billing,28.45,0
TKT000479,C000340,2025-06-03,Billing,32.45,0
TKT000480,C000340,2025-08-01,Billing,72.91,1
TKT000481,C000340,2025-08-30,Account,42.56,1
TKT000482,C000341,2025-05-05,Account,9.92,1
TKT000483,C000341,2025-07-05,AppBug,29.06,1
TKT000484,C000342,2025-04-17,Account,34.36,1
TKT000485,C000342,2025-07-27,Billing,23.04,1
TKT000486,C000342,2025-03-11,AppBug,4.8,0
TKT000487,C000343,2024-12-05,Refund,31.49,1
TKT000488,C000344,2025-09-29,AppBug,32.36,1
TKT000489,C000344,2025-06-09,Network,20.9,1
TKT000490,C000345,2025-11-16,AppBug,25.46,1
TKT000491,C000345,2025-12-04,AppBug,23.03,1
TKT000492,C000346,2025-08-16,Billing,61.36,0
TKT000493,C000346,2025-08-11,Billing,34.75,0
TKT000494,C000347,2025-08-28,Billing,20.35,1
TKT000495,C000348,2025-06-04,Billing,23.13,1
TKT000496,C000348,2025-02-20,Account,70.27,1
TKT000497,C000348,2025-04-24,Network,32.63,1
TKT000498,C000348,2024-12-06,AppBug,33.14,1
TKT000499,C000349,2025-07-04,Billing,37.79,1
TKT000500,C000349,2025-10-20,Refund,77.61,1
TKT000501,C000350,2025-10-31,Network,32.15,1
TKT000502,C000350,2025-08-05,AppBug,18.1,1
TKT000503,C000352,2025-10-28,AppBug,24.27,1
TKT000504,C000352,2025-11-23,AppBug,28.44,1
TKT000505,C000353,2025-10-25,Refund,36.59,1
TKT000506,C000353,2024-09-24,Refund,7.1,1
TKT000507,C000354,2024-12-17,Account,29.56,1
TKT000508,C000354,2024-12-07,Refund,54.33,0
TKT000509,C000354,2024-11-12,Billing,34.89,0
TKT000510,C000354,2024-12-27,Refund,35.74,0
TKT000511,C000354,2024-12-15,Billing,27.53,1
TKT000512,C000355,2025-04-01,Network,58.22,1
TKT000513,C000356,2025-08-30,Billing,1.8,0
TKT000514,C000357,2025-05-04,Refund,51.77,1
TKT000515,C000357,2025-04-21,Network,29.29,1
TKT000516,C000358,2025-08-08,Network,32.63,1
TKT000517,C000360,2025-11-19,Account,39.87,1
TKT000518,C000361,2025-10-11,Account,44.55,0
TKT000519,C000361,2025-07-21,Billing,39.78,1
