customer_id,segment_id,segment_name
C000263,0,High Value Engaged
C000264,0,High Value Engaged
C000265,3,Price Sensitive
C000266,2,Low Engagement
C000267,1,At Risk
C000268,0,High Value Engaged
C000269,2,Low Engagement
C000270,1,At Risk
C000271,2,Low Engagement
C000272,0,High Value Engaged
C000273,0,High Value Engaged
C000274,0,High Value Engaged
C000275,0,High Value Engaged
C000276,0,High Value Engaged
C000277,0,High Value Engaged
C000278,1,At Risk
C000279,0,High Value Engaged
C000280,2,Low Engagement
C000281,0,High Value Engaged
C000282,1,At Risk
C000283,1,At Risk
C000284,0,High Value Engaged
C000285,0,High Value Engaged
C000286,0,High Value Engaged
C000287,2,Low Engagement
C000288,0,High Value Engaged
C000289,0,High Value Engaged
C000290,1,At Risk
C000291,0,High Value Engaged
C000292,1,At Risk
C000293,0,High Value Engaged
C000294,0,High Value Engaged
C000295,0,High Value Engaged
C000296,3,Price Sensitive
C000297,0,High Value Engaged
C000298,2,Low Engagement
C000299,0,High Value Engaged
C000300,0,High Value Engaged
C000301,0,High Value Engaged
C000302,2,Low Engagement
C000303,0,High Value Engaged
C000304,0,High Value Engaged
C000305,0,High Value Engaged
C000306,0,High Value Engaged
C000307,0,High Value Engaged
C000308,0,High Value Engaged
C000309,0,High Value Engaged
C000310,0,High Value Engaged
C000311,3,Price Sensitive
C000312,1,At Risk
C000313,1,At Risk
C000314,0,High Value Engaged
C000315,0,High Value Engaged
C000316,0,High Value Engaged
C000317,0,High Value Engaged
C000318,2,Low Engagement
C000319,2,Low Engagement
C000320,0,High Value Engaged
C000321,0,High Value Engaged
C000322,1,At Risk
C000323,1,At Risk
C000324,0,High Value Engaged
C000325,1,At Risk
C000326,0,High Value Engaged
C000327,0,High Value Engaged
C000328,1,At Risk
C000329,0,High Value Engaged
C000330,3,Price Sensitive
C000331,0,High Value Engaged
C000332,0,High Value Engaged
C000333,0,High Value Engaged
C000334,0,High Value Engaged
C000335,2,Low Engagement
C000336,2,Low Engagement
C000337,0,High Value Engaged
C000338,2,Low Engagement
C000339,0,High Value Engaged
C000340,1,At Risk
C000341,0,High Value Engaged
C000342,0,High Value Engaged
C000343,0,High Value Engaged
C000344,0,High Value Engaged
C000345,2,Low Engagement
C000346,1,At Risk
C000347,0,High Value Engaged
C000348,1,At Risk
C000349,1,At Risk
C000350,0,High Value Engaged
C000351,0,High Value Engaged
C000352,0,High Value Engaged
C000353,0,High Value Engaged
C000354,1,At Risk
C000355,1,At Risk
C000356,0,High Value Engaged
C000357,1,At Risk
C000358,0,High Value Engaged
C000359,0,High Value Engaged
C000360,0,High Value Engaged
C000361,1,At Risk
C000362,0,High Value Engaged
C000363,2,Low Engagement
C000364,0,High Value Engaged
C000365,0,High Value Engaged
C000366,0,High Value Engaged
C000367,0,High Value Engaged
C000368,0,High Value Engaged
C000369,1,At Risk
C000370,1,At Risk
C000371,0,High Value Engaged
C000372,0,High Value Engaged
C000373,1,At Risk
C000374,0,High Value Engaged
C000375,0,High Value Engaged
C000376,2,Low Engagement
C000377,0,High Value Engaged
C000378,1,At Risk
C000379,1,At Risk
C000380,1,At Risk
C000381,1,At Risk
C000382,0,High Value Engaged
C000383,0,High Value Engaged
C000384,0,High Value Engaged
C000385,0,High Value Engaged
C000386,2,Low Engagement
C000387,0,High Value Engaged
C000388,0,High Value Engaged
C000389,1,At Risk
C000390,0,High Value Engaged
C000391,1,At Risk
C000392,0,High Value Engaged
C000393,1,At Risk
C000394,0,High Value Engaged
C000395,1,At Risk
C000396,1,At Risk
C000397,1,At Risk
C000398,0,High Value Engaged
C000399,0,High Value Engaged
C000400,1,At Risk
C000401,2,Low Engagement
C000402,1,At Risk
C000403,1,At Risk
C000404,0,High Value Engaged
C000405,0,High Value Engaged
C000406,0,High Value Engaged
C000407,0,High Value Engaged
C000408,1,At Risk
C000409,0,High Value Engaged
C000410,0,High Value Engaged
C000411,0,High Value Engaged
C000412,0,High Value Engaged
C000413,1,At Risk
C000414,1,At Risk
C000415,0,High Value Engaged
C000416,1,At Risk
C000417,2,Low Engagement
C000418,2,Low Engagement
C000419,0,High Value Engaged
C000420,0,High Value Engaged
C000421,2,Low Engagement
C000422,3,Price Sensitive
C000423,0,High Value Engaged
C000424,0,High Value Engaged
C000425,0,High Value Engaged
C000426,0,High Value Engaged
C000427,1,At Risk
C000428,2,Low Engagement
C000429,1,At Risk
C000430,0,High Value Engaged
C000431,0,High Value Engaged
C000432,2,Low Engagement
C000433,0,High Value Engaged
C000434,0,High Value Engaged
C000435,0,High Value Engaged
C000436,0,High Value Engaged
C000437,0,High Value Engaged
C000438,0,High Value Engaged
C000439,0,High Value Engaged
C000440,2,Low Engagement
C000441,0,High Value Engaged
C000442,2,Low Engagement
C000443,0,High Value Engaged
C000444,2,Low Engagement
C000445,2,Low Engagement
C000446,0,High Value Engaged
C000447,3,Price Sensitive
C000448,0,High Value Engaged
C000449,2,Low Engagement
C000450,0,High Value Engaged
C000451,0,High Value Engaged
C000452,3,Price Sensitive
C000453,0,High Value Engaged
C000454,0,High Value Engaged
C000455,0,High Value Engaged
C000456,0,High Value Engaged
C000457,0,High Value Engaged
C000458,0,High Value Engaged
C000459,1,At Risk
C000460,1,At Risk
C000461,2,Low Engagement
C000462,3,Price Sensitive
C000463,0,High Value Engaged
C000464,0,High Value Engaged
C000465,0,High Value Engaged
C000466,2,Low Engagement
C000467,0,High Value Engaged
C000468,0,High Value Engaged
C000469,0,High Value Engaged
C000470,0,High Value Engaged
C000471,0,High Value Engaged
C000472,0,High Value Engaged
C000473,0,High Value Engaged
C000474,0,High Value Engaged
C000475,2,Low Engagement
C000476,2,Low Engagement
C000477,2,Low Engagement
C000478,0,High Value Engaged
C000479,1,At Risk
C000480,2,Low Engagement
C000481,0,High Value Engaged
C000482,0,High Value Engaged
C000483,0,High Value Engaged
C000484,0,High Value Engaged
C000485,0,High Value Engaged
C000486,0,High Value Engaged
C000487,2,Low Engagement
C000488,1,At Risk
C000489,0,High Value Engaged
C000490,0,High Value Engaged
C000491,0,High Value Engaged
C000492,2,Low Engagement
C000493,3,Price Sensitive
C000494,0,High Value Engaged
C000495,0,High Value Engaged
C000496,0,High Value Engaged
C000497,0,High Value Engaged
C000498,0,High Value Engaged
C000499,0,High Value Engaged
C000500,1,At Risk
C000501,2,Low Engagement
C000502,1,At Risk
C000503,0,High Value Engaged
C000504,0,High Value Engaged
C000505,0,High Value Engaged
C000506,3,Price Sensitive
C000507,0,High Value Engaged
C000508,0,High Value Engaged
C000509,2,Low Engagement
C000510,0,High Value Engaged
C000511,2,Low Engagement
C000512,0,High Value Engaged
C000513,0,High Value Engaged
C000514,0,High Value Engaged
C000515,0,High Value Engaged
C000516,2,Low Engagement
C000517,3,Price Sensitive
C000518,1,At Risk
C000519,0,High Value Engaged
C000520,1,At Risk
C000521,0,High Value Engaged
C000522,0,High Value Engaged
C000523,0,High Value Engaged
C000524,1,At Risk
C000525,2,Low Engagement
C000526,1,At Risk
C000527,0,High Value Engaged
C000528,0,High Value Engaged
C000529,1,At Risk
C000530,2,Low Engagement
C000531,0,High Value Engaged
C000532,0,High Value Engaged
C000533,0,High Value Engaged
C000534,0,High Value Engaged
C000535,0,High Value Engaged
C000536,0,High Value Engaged
C000537,1,At Risk
C000538,0,High Value Engaged
C000539,0,High Value Engaged
C000540,0,High Value Engaged
C000541,0,High Value Engaged
C000542,0,High Value Engaged
C000543,1,At Risk
C000544,3,Price Sensitive
C000545,0,High Value Engaged
C000546,2,Low Engagement
C000547,0,High Value Engaged
C000548,1,At Risk
C000549,0,High Value Engaged
C000550,0,High Value Engaged
C000551,0,High Value Engaged
C000552,0,High Value Engaged
C000553,2,Low Engagement
C000554,0,High Value Engaged
C000555,1,At Risk
C000556,0,High Value Engaged
C000557,0,High Value Engaged
C000558,2,Low Engagement
C000559,2,Low Engagement
C000560,1,At Risk
C000561,0,High Value Engaged
C000562,2,Low Engagement
C000563,0,High Value Engaged
C000564,0,High Value Engaged
C000565,2,Low Engagement
C000566,0,High Value Engaged
C000567,2,Low Engagement
C000568,2,Low Engagement
C000569,2,Low Engagement
C000570,0,High Value Engaged
C000571,1,At Risk
C000572,0,High Value Engaged
C000573,2,Low Engagement
C000574,0,High Value Engaged
C000575,1,At Risk
C000576,2,Low Engagement
C000577,1,At Risk
C000578,2,Low Engagement
C000579,1,At Risk
C000580,0,High Value Engaged
C000581,0,High Value Engaged
C000582,0,High Value Engaged
C000583,3,Price Sensitive
C000584,0,High Value Engaged
C000585,2,Low Engagement
C000586,0,High Value Engaged
C000587,0,High Value Engaged
C000588,0,High Value Engaged
C000589,0,High Value Engaged
C000590,0,High Value Engaged
C000591,0,High Value Engaged
C000592,0,High Value Engaged
C000593,1,At Risk
C000594,0,High Value Engaged
C000595,1,At Risk
C000596,0,High Value Engaged
C000597,2,Low Engagement
C000598,0,High Value Engaged
C000599,0,High Value Engaged
C000600,0,High Value Engaged
C000601,2,Low Engagement
C000602,0,High Value Engaged
C000603,0,High Value Engaged
C000604,0,High Value Engaged
C000605,0,High Value Engaged
C000606,0,High Value Engaged
C000607,0,High Value Engaged
C000608,1,At Risk
C000609,1,At Risk
C000610,2,Low Engagement
C000611,0,High Value Engaged
C000612,0,High Value Engaged
C000613,1,At Risk
C000614,1,At Risk
C000615,2,Low Engagement
C000616,0,High Value Engaged
C000617,0,High Value Engaged
C000618,1,At Risk
C000619,0,High Value Engaged
C000620,2,Low Engagement
C000621,0,High Value Engaged
C000622,0,High Value Engaged
C000623,0,High Value Engaged
C000624,0,High Value Engaged
C000625,0,High Value Engaged
C000626,0,High Value Engaged
C000627,2,Low Engagement
C000628,0,High Value Engaged
C000629,0,High Value Engaged
C000630,0,High Value Engaged
C000631,0,High Value Engaged
C000632,1,At Risk
C000633,1,At Risk
C000634,0,High Value Engaged
C000635,0,High Value Engaged
C000636,2,Low Engagement
C000637,0,High Value Engaged
C000638,0,High Value Engaged
C000639,0,High Value Engaged
C000640,0,High Value Engaged
C000641,0,High Value Engaged
C000642,0,High Value Engaged
C000643,0,High Value Engaged
C000644,2,Low Engagement
C000645,1,At Risk
C000646,0,High Value Engaged
C000647,0,High Value Engaged
C000648,1,At Risk
C000649,2,Low Engagement
C000650,0,High Value Engaged
C000651,0,High Value Engaged
C000652,1,At Risk
C000653,0,High Value Engaged
C000654,0,High Value Engaged
C000655,0,High Value Engaged
C000656,0,High Value Engaged
C000657,0,High Value Engaged
C000658,1,At Risk
C000659,2,Low Engagement
C000660,0,High Value Engaged
C000661,0,High Value Engaged
C000662,3,Price Sensitive
C000663,0,High Value Engaged
C000664,0,High Value Engaged
C000665,0,High Value Engaged
C000666,0,High Value Engaged
C000667,0,High Value Engaged
C000668,0,High Value Engaged
C000669,1,At Risk
C000670,0,High Value Engaged
C000671,0,High Value Engaged
C000672,3,Price Sensitive
C000673,1,At Risk
C000674,0,High Value Engaged
C000675,0,High Value Engaged
C000676,1,At Risk
C000677,0,High Value Engaged
C000678,0,High Value Engaged
C000679,0,High Value Engaged
C000680,2,Low Engagement
C000681,0,High Value Engaged
C000682,0,High Value Engaged
C000683,0,High Value Engaged
C000684,0,High Value Engaged
C000685,0,High Value Engaged
C000686,0,High Value Engaged
C000687,0,High Value Engaged
C000688,2,Low Engagement
C000689,0,High Value Engaged
C000690,1,At Risk
C000691,0,High Value Engaged
C000692,0,High Value Engaged
C000693,2,Low Engagement
C000694,0,High Value Engaged
C000695,0,High Value Engaged
C000696,2,Low Engagement
C000697,1,At Risk
C000698,0,High Value Engaged
C000699,0,High Value Engaged
C000700,0,High Value Engaged
C000701,2,Low Engagement
C000702,0,High Value Engaged
C000703,0,High Value Engaged
C000704,0,High Value Engaged
C000705,0,High Value Engaged
C000706,0,High Value Engaged
C000707,0,High Value Engaged
C000708,0,High Value Engaged
C000709,1,At Risk
C000710,3,Price Sensitive
C000711,1,At Risk
C000712,2,Low Engagement
C000713,0,High Value Engaged
C000714,1,At Risk
C000715,0,High Value Engaged
C000716,1,At Risk
C000717,0,High Value Engaged
C000718,2,Low Engagement
C000719,0,High Value Engaged
C000720,2,Low Engagement
C000721,0,High Value Engaged
C000722,0,High Value Engaged
C000723,0,High Value Engaged
C000724,2,Low Engagement
C000725,0,High Value Engaged
C000726,0,High Value Engaged
C000727,0,High Value Engaged
C000728,0,High Value Engaged
C000729,0,High Value Engaged
C000730,0,High Value Engaged
C000731,1,At Risk
C000732,1,At Risk
C000733,2,Low Engagement
C000734,0,High Value Engaged
C000735,0,High Value Engaged
C000736,0,High Value Engaged
C000737,2,Low Engagement
C000738,2,Low Engagement
C000739,1,At Risk
C000740,2,Low Engagement
C000741,1,At Risk
C000742,0,High Value Engaged
C000743,0,High Value Engaged
C000744,3,Price Sensitive
C000745,0,High Value Engaged
C000746,1,At Risk
C000747,1,At Risk
C000748,0,High Value Engaged
C000749,2,Low Engagement
C000750,0,High Value Engaged
C000751,0,High Value Engaged
C000752,0,High Value Engaged
C000753,2,Low Engagement
C000754,0,High Value Engaged
C000755,1,At Risk
C000756,0,High Value Engaged
C000757,0,High Value Engaged
C000758,0,High Value Engaged
C000759,1,At Risk
C000760,1,At Risk
C000761,0,High Value Engaged
C000762,2,Low Engagement
C000763,1,At Risk
C000764,0,High Value Engaged
C000765,0,High Value Engaged
C000766,0,High Value Engaged
C000767,0,High Value Engaged
C000768,0,High Value Engaged
C000769,0,High Value Engaged
C000770,0,High Value Engaged
C000771,0,High Value Engaged
C000772,0,High Value Engaged
C000773,1,At Risk
C000774,0,High Value Engaged
C000775,0,High Value Engaged
C000776,0,High Value Engaged
C000777,1,At Risk
C000778,0,High Value Engaged
C000779,0,High Value Engaged
C000780,0,High Value Engaged
C000781,0,High Value Engaged
C000782,0,High Value Engaged
C000783,0,High Value Engaged
C000784,0,High Value Engaged
C000785,2,Low Engagement
C000786,0,High Value Engaged
C000787,0,High Value Engaged
C000788,2,Low Engagement
C000789,0,High Value Engaged
C000790,0,High Value Engaged
C000791,0,High Value Engaged
C000792,0,High Value Engaged
C000793,1,At Risk
C000794,1,At Risk
C000795,2,Low Engagement
C000796,0,High Value Engaged
C000797,0,High Value Engaged
C000798,3,Price Sensitive
C000799,0,High Value Engaged
C000800,0,High Value Engaged
C000801,0,High Value Engaged
C000802,2,Low Engagement
C000803,2,Low Engagement
C000804,0,High Value Engaged
C000805,0,High Value Engaged
C000806,2,Low Engagement
C000807,1,At Risk
C000808,0,High Value Engaged
C000809,0,High Value Engaged
C000810,0,High Value Engaged
C000811,2,Low Engagement
C000812,0,High Value Engaged
C000813,0,High Value Engaged
C000814,0,High Value Engaged
C000815,1,At Risk
C000816,0,High Value Engaged
C000817,0,High Value Engaged
C000818,1,At Risk
C000819,0,High Value Engaged
C000820,0,High Value Engaged
C000821,0,High Value Engaged
C000822,0,High Value Engaged
C000823,0,High Value Engaged
C000824,2,Low Engagement
C000825,2,Low Engagement
C000826,1,At Risk
C000827,0,High Value Engaged
C000828,2,Low Engagement
C000829,0,High Value Engaged
C000830,0,High Value Engaged
C000831,2,Low Engagement
C000832,0,High Value Engaged
C000833,1,At Risk
C000834,0,High Value Engaged
C000835,0,High Value Engaged
C000836,0,High Value Engaged
C000837,1,At Risk
C000838,1,At Risk
C000839,0,High Value Engaged
C000840,1,At Risk
C000841,1,At Risk
C000842,1,At Risk
C000843,0,High Value Engaged
C000844,0,High Value Engaged
C000845,1,At Risk
C000846,1,At Risk
C000847,0,High Value Engaged
C000848,0,High Value Engaged
C000849,0,High Value Engaged
C000850,1,At Risk
C000851,0,High Value Engaged
C000852,0,High Value Engaged
C000853,0,High Value Engaged
C000854,0,High Value Engaged
C000855,1,At Risk
C000856,0,High Value Engaged
C000857,1,At Risk
C000858,1,At Risk
C000859,0,High Value Engaged
C000860,0,High Value Engaged
C000861,0,High Value Engaged
C000862,1,At Risk
C000863,0,High Value Engaged
C000864,1,At Risk
C000865,0,High Value Engaged
C000866,0,High Value Engaged
C000867,0,High Value Engaged
C000868,0,High Value Engaged
C000869,1,At Risk
C000870,2,Low Engagement
C000871,0,High Value Engaged
C000872,0,High Value Engaged
C000873,2,Low Engagement
C000874,0,High Value Engaged
C000875,0,High Value Engaged
C000876,0,High Value Engaged
C000877,0,High Value Engaged
C000878,0,High Value Engaged
C000879,1,At Risk
C000880,2,Low Engagement
C000881,0,High Value Engaged
C000882,2,Low Engagement
C000883,2,Low Engagement
C000884,0,High Value Engaged
C000885,2,Low Engagement
C000886,0,High Value Engaged
C000887,0,High Value Engaged
C000888,0,High Value Engaged
C000889,0,High Value Engaged
C000890,0,High Value Engaged
C000891,0,High Value Engaged
C000892,0,High Value Engaged
C000893,0,High Value Engaged
C000894,0,High Value Engaged
C000895,0,High Value Engaged
C000896,1,At Risk
C000897,0,High Value Engaged
C000898,0,High Value Engaged
C000899,2,Low Engagement
C000900,0,High Value Engaged
C000901,2,Low Engagement
C000902,1,At Risk
C000903,3,Price Sensitive
C000904,0,High Value Engaged
C000905,0,High Value Engaged
C000906,2,Low Engagement
C000907,2,Low Engagement
C000908,0,High Value Engaged
C000909,2,Low Engagement
C000910,0,High Value Engaged
C000911,0,High Value Engaged
C000912,2,Low Engagement
C000913,2,Low Engagement
C000914,0,High Value Engaged
C000915,0,High Value Engaged
C000916,0,High Value Engaged
C000917,0,High Value Engaged
C000918,1,At Risk
C000919,1,At Risk
C000920,1,At Risk
C000921,0,High Value Engaged
C000922,0,High Value Engaged
C000923,0,High Value Engaged
C000924,0,High Value Engaged
C000925,0,High Value Engaged
C000926,1,At Risk
C000927,3,Price Sensitive
C000928,1,At Risk
C000929,1,At Risk
C000930,2,Low Engagement
C000931,1,At Risk
C000932,1,At Risk
C000933,0,High Value Engaged
C000934,0,High Value Engaged
C000935,0,High Value Engaged
C000936,2,Low Engagement
C000937,0,High Value Engaged
C000938,0,High Value Engaged
C000939,0,High Value Engaged
C000940,2,Low Engagement
C000941,0,High Value Engaged
C000942,1,At Risk
C000943,0,High Value Engaged
C000944,2,Low Engagement
C000945,0,High Value Engaged
C000946,0,High Value Engaged
C000947,0,High Value Engaged
C000948,0,High Value Engaged
C000949,1,At Risk
C000950,0,High Value Engaged
C000951,2,Low Engagement
C000952,0,High Value Engaged
C000953,0,High Value Engaged
C000954,3,Price Sensitive
C000955,2,Low Engagement
C000956,1,At Risk
C000957,2,Low Engagement
C000958,2,Low Engagement
C000959,0,High Value Engaged
C000960,0,High Value Engaged
C000961,0,High Value Engaged
C000962,0,High Value Engaged
C000963,0,High Value Engaged
C000964,1,At Risk
C000965,1,At Risk
C000966,0,High Value Engaged
C000967,0,High Value Engaged
C000968,1,At Risk
C000969,0,High Value Engaged
C000970,1,At Risk
C000971,0,High Value Engaged
C000972,1,At Risk
C000973,0,High Value Engaged
C000974,0,High Value Engaged
C000975,2,Low Engagement
C000976,0,High Value Engaged
C000977,0,High Value Engaged
C000978,0,High Value Engaged
C000979,0,High Value Engaged
C000980,0,High Value Engaged
C000981,0,High Value Engaged
C000982,0,High Value Engaged
C000983,2,Low Engagement
C000984,0,High Value Engaged
C000985,0,High Value Engaged
C000986,0,High Value Engaged
C000987,2,Low Engagement
C000988,0,High Value Engaged
C000989,1,At Risk
C000990,0,High Value Engaged
C000991,0,High Value Engaged
C000992,1,At Risk
C000993,2,Low Engagement
C000994,2,Low Engagement
C000995,1,At Risk
C000996,0,High Value Engaged
C000997,0,High Value Engaged
C000998,0,High Value Engaged
C000999,1,At Risk
C001000,0,High Value Engaged
C001001,0,High Value Engaged
C001002,0,High Value Engaged
C001003,0,High Value Engaged
C001004,0,High Value Engaged
C001005,0,High Value Engaged
C001006,1,At Risk
C001007,1,At Risk
C001008,0,High Value Engaged
C001009,0,High Value Engaged
C001010,0,High Value Engaged
C001011,0,High Value Engaged
C001012,0,High Value Engaged
C001013,0,High Value Engaged
C001014,0,High Value Engaged
C001015,0,High Value Engaged
C001016,0,High Value Engaged
C001017,1,At Risk
C001018,1,At Risk
C001019,0,High Value Engaged
C001020,0,High Value Engaged
C001021,0,High Value Engaged
C001022,1,At Risk
C001023,0,High Value Engaged
C001024,0,High Value Engaged
C001025,0,High Value Engaged
C001026,0,High Value Engaged
C001027,0,High Value Engaged
C001028,1,At Risk
C001029,0,High Value Engaged
C001030,1,At Risk
C001031,0,High Value Engaged
C001032,1,At Risk
C001033,0,High Value Engaged
C001034,0,High Value Engaged
C001035,0,High Value Engaged
C001036,0,High Value Engaged
C001037,0,High Value Engaged
C001038,0,High Value Engaged
C001039,0,High Value Engaged
C001040,1,At Risk
C001041,0,High Value Engaged
C001042,1,At Risk
C001043,1,At Risk
C001044,1,At Risk
C001045,1,At Risk
C001046,2,Low Engagement
C001047,0,High Value Engaged
C001048,0,High Value Engaged
C001049,1,At Risk
C001050,0,High Value Engaged
C001051,0,High Value Engaged
C001052,0,High Value Engaged
C001053,2,Low Engagement
