customer_id,age,gender,location,device_type,acquisition_channel,plan_type,monthly_price,auto_renew,total_sessions_30d,avg_session_minutes_30d,total_crashes_30d,failed_payments_30d,total_amount_success_30d,support_tickets_30d,avg_resolution_time_30d,churn
C000037,27,Female,Bangalore,Web,Ads,Basic,199,1,144,20.08,4,0,202.1,1,18.16,0
C000038,42,Female,Nagpur,Android,Organic,Basic,199,1,169,20.98,0,0,206.14,0,0.0,0
C000039,33,Male,Hyderabad,Android,Organic,Premium,999,0,161,16.41,3,1,0.0,0,0.0,0
C000040,40,Female,Ahmedabad,iOS,Partner,Premium,999,1,195,23.45,2,0,969.66,0,0.0,0
C000041,28,Male,Hyderabad,Android,Referral,Basic,199,1,174,27.34,0,0,205.38,0,0.0,0
C000042,29,Other,Patna,Android,Referral,Basic,199,0,173,16.53,1,0,199.6,0,0.0,0
C000043,46,Female,Pune,iOS,Organic,Standard,499,0,214,24.73,0,0,500.47,0,0.0,0
C000044,36,Female,Surat,Web,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000045,24,Female,Hyderabad,iOS,Ads,Premium,999,0,210,22.97,3,0,1032.73,0,0.0,0
C000046,40,Male,Nagpur,Android,Partner,Basic,199,0,193,25.04,0,0,208.83,0,0.0,0
C000047,26,Female,Jaipur,Android,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000048,34,Female,Jaipur,Web,Organic,Premium,999,1,208,25.63,5,0,950.22,0,0.0,0
C000049,50,Female,Vadodara,Android,Partner,Premium,999,0,228,27.66,0,0,1044.77,0,0.0,0
C000050,18,Female,Bangalore,Web,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000051,30,Female,Kanpur,Android,Partner,Basic,199,1,250,25.71,3,0,208.37,1,22.95,0
C000052,36,Other,Surat,iOS,Organic,Standard,499,0,219,33.35030000000001,1,0,512.32,0,0.0,0
C000053,39,Female,Ghaziabad,iOS,Ads,Standard,499,1,232,24.46,1,0,499.16,0,0.0,0
C000054,19,Female,Surat,Android,Partner,Basic,199,0,234,24.8,1,0,192.29,0,0.0,0
C000055,18,Male,Visakhapatnam,iOS,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000056,42,Female,Indore,Android,Referral,Basic,199,1,208,24.24,1,0,202.85,0,0.0,0
C000057,24,Male,Bhopal,iOS,Organic,Basic,199,1,160,23.29,1,0,198.31,1,11.39,0
C000058,24,Male,Lucknow,iOS,Organic,Basic,199,1,214,31.5,0,0,193.89,0,0.0,0
C000059,47,Male,Hyderabad,Android,Organic,Premium,999,0,218,25.63,4,0,998.88,0,0.0,0
C000060,32,Female,Lucknow,iOS,Ads,Basic,199,1,180,23.26,0,0,193.43,0,0.0,0
C000061,32,Female,Ghaziabad,Android,Referral,Basic,199,1,207,21.01,2,0,196.25,1,15.96,0
C000062,30,Female,Kanpur,Android,Ads,Basic,199,0,192,25.64,0,1,0.0,0,0.0,0
C000063,19,Male,Jaipur,iOS,Ads,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000064,38,Female,Thane,Android,Referral,Standard,499,0,211,24.28,7,0,511.82,0,0.0,0
C000065,36,Female,Jaipur,iOS,Organic,Standard,499,0,205,23.67,5,0,477.92,0,0.0,0
C000066,33,Male,Pune,Android,Partner,Basic,199,0,207,33.35030000000001,0,0,193.56,0,0.0,0
C000067,30,Male,Kanpur,Android,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000068,29,Male,Ghaziabad,Android,Organic,Standard,499,1,190,22.03,10,0,515.3,1,35.88,0
C000069,41,Female,Indore,Android,Organic,Basic,199,1,195,25.73,4,0,201.57,0,0.0,0
C000070,30,Female,Bhopal,iOS,Organic,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000071,31,Male,Vadodara,iOS,Referral,Standard,499,1,199,28.85,2,0,514.49,0,0.0,0
C000072,37,Other,Bangalore,Web,Organic,Basic,199,1,208,26.18,3,0,190.34,1,39.56,0
C000073,34,Male,Surat,Android,Referral,Basic,199,1,187,22.49,0,0,208.86,0,0.0,0
C000074,48,Male,Ghaziabad,iOS,Ads,Premium,999,1,203,24.49,2,0,1006.51,0,0.0,0
C000075,18,Male,Vadodara,iOS,Referral,Premium,999,0,210,27.85,2,0,1022.68,0,0.0,0
C000076,34,Male,Ahmedabad,Android,Referral,Standard,499,1,256,27.21,7,0,497.91,1,37.06,0
C000077,24,Male,Ghaziabad,iOS,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000078,22,Male,Ahmedabad,iOS,Organic,Basic,199,1,172,22.43,2,0,199.54,1,35.39,0
C000079,27,Female,Bangalore,Android,Organic,Basic,199,1,199,27.51,3,0,196.55,0,0.0,0
C000080,32,Male,Lucknow,iOS,Organic,Basic,199,1,203,18.91,1,0,203.0,2,11.41,0
C000081,32,Female,Nagpur,Android,Ads,Basic,199,1,208,22.07,1,0,201.88,0,0.0,0
C000082,18,Female,Jaipur,Android,Ads,Standard,499,1,197,19.4,0,0,510.63,0,0.0,0
C000083,26,Male,Kolkata,Android,Partner,Standard,499,1,203,24.69,2,0,506.22,0,0.0,0
C000084,34,Female,Thane,Web,Referral,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000085,23,Male,Bhopal,Android,Organic,Standard,499,0,157,24.01,0,0,504.3,1,27.88,0
C000086,20,Female,Chennai,Android,Referral,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000087,18,Female,Nagpur,iOS,Organic,Standard,499,0,187,20.69,4,0,497.91,0,0.0,0
C000088,25,Male,Vadodara,iOS,Organic,Standard,499,1,193,21.07,2,0,496.31,1,25.49,0
C000089,20,Female,Delhi,iOS,Referral,Standard,499,1,186,21.09,2,0,475.43,0,0.0,0
C000090,22,Female,Kolkata,Android,Partner,Standard,499,1,206,23.34,1,0,483.25,0,0.0,0
C000091,29,Female,Mumbai,iOS,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000092,26,Female,Thane,Android,Referral,Basic,199,1,200,26.56,2,0,194.26,1,5.12,0
C000093,20,Male,Thane,Android,Partner,Basic,199,0,156,23.54,2,0,198.37,0,0.0,0
C000094,18,Female,Indore,iOS,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000095,35,Male,Pune,iOS,Organic,Premium,999,0,210,24.13,6,0,988.34,0,0.0,0
C000096,39,Male,Chennai,iOS,Referral,Basic,199,0,189,20.0,6,0,201.7,0,0.0,0
C000097,28,Male,Ghaziabad,iOS,Referral,Basic,199,1,170,22.86,10,0,192.91,0,0.0,0
C000098,29,Male,Bhopal,iOS,Ads,Premium,999,0,166,16.02,3,0,1023.08,0,0.0,0
C000099,32,Female,Visakhapatnam,Android,Organic,Basic,199,1,233,27.97,2,0,412.1,0,0.0,0
C000100,47,Female,Surat,Android,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000101,18,Female,Thane,Web,Referral,Basic,199,0,203,22.85,4,0,191.71,0,0.0,0
C000102,27,Male,Ghaziabad,Android,Ads,Basic,199,1,162,22.55,0,0,190.18,0,0.0,0
C000103,18,Female,Bhopal,iOS,Organic,Basic,199,1,199,19.03,2,0,198.3,0,0.0,0
C000104,35,Female,Bangalore,iOS,Referral,Standard,499,1,159,21.65,0,0,496.85,1,2.55,0
C000105,30,Male,Kolkata,Android,Ads,Premium,999,1,161,21.51,1,0,968.43,0,0.0,0
C000106,34,Male,Nagpur,Web,Partner,Basic,199,1,193,21.51,8,0,206.65,0,0.0,0
C000107,33,Female,Mumbai,iOS,Partner,Premium,999,1,217,24.78,3,0,962.73,0,0.0,0
C000108,41,Female,Indore,iOS,Referral,Basic,199,1,251,31.44,2,0,199.0,0,0.0,0
C000109,37,Female,Delhi,Android,Partner,Standard,499,1,216,26.6,3,0,496.86,0,0.0,0
C000110,40,Female,Delhi,Android,Partner,Basic,199,0,22,3.91,8,0,0.0,1,26.19,1
C000111,21,Female,Thane,Android,Ads,Basic,199,1,198,21.76,1,0,201.37,0,0.0,0
C000112,43,Male,Patna,iOS,Referral,Basic,199,0,185,19.52,0,0,207.19,0,0.0,0
C000113,24,Female,Jaipur,iOS,Referral,Premium,999,0,203,32.0,2,0,1045.19,0,0.0,0
C000114,25,Male,Bangalore,Android,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000115,34,Female,Hyderabad,iOS,Organic,Premium,999,1,175,25.26,1,0,1033.71,2,24.42,0
C000116,35,Female,Thane,Android,Ads,Basic,199,1,179,19.52,1,0,189.93,1,29.49,0
C000117,21,Female,Chennai,iOS,Organic,Basic,199,0,199,27.38,6,0,194.97,0,0.0,0
C000118,30,Other,Ghaziabad,Android,Organic,Basic,199,0,0,0.0,0,0,197.65,0,0.0,1
C000119,46,Male,Ghaziabad,Android,Organic,Basic,199,1,207,28.45,3,0,207.11,0,0.0,0
C000120,18,Female,Chennai,Android,Partner,Premium,999,1,188,30.77,0,0,1047.3201,0,0.0,0
C000121,46,Female,Lucknow,Web,Ads,Basic,199,0,196,24.8,0,0,195.72,0,0.0,0
C000122,29,Other,Bhopal,Android,Organic,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000123,18,Female,Kanpur,Android,Ads,Premium,999,1,212,26.19,1,0,985.43,0,0.0,0
C000124,18,Male,Indore,Android,Organic,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000125,22,Female,Surat,Android,Referral,Basic,199,0,200,24.28,4,0,195.99,0,0.0,0
C000126,25,Female,Vadodara,iOS,Organic,Premium,999,1,172,24.24,5,0,1047.3201,0,0.0,0
C000127,30,Male,Kolkata,iOS,Organic,Basic,199,1,159,15.25,1,0,207.37,0,0.0,0
C000128,18,Female,Lucknow,Android,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000129,33,Female,Ghaziabad,Android,Ads,Standard,499,0,31,6.31,7,0,504.53,0,0.0,1
C000130,21,Female,Bangalore,Android,Partner,Basic,199,0,196,29.26,0,1,200.65,0,0.0,0
C000131,45,Male,Thane,Web,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000132,29,Female,Surat,iOS,Organic,Standard,499,1,211,25.25,2,0,500.86,0,0.0,0
C000133,41,Female,Delhi,iOS,Ads,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000134,43,Female,Kolkata,iOS,Organic,Basic,199,1,226,27.71,0,0,202.17,1,9.04,0
C000135,42,Male,Visakhapatnam,Web,Organic,Standard,499,0,182,21.31,4,0,517.58,0,0.0,0
C000136,26,Male,Patna,Web,Organic,Standard,499,1,233,33.35030000000001,0,0,481.94,0,0.0,0
C000137,26,Female,Hyderabad,Android,Referral,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000138,29,Female,Jaipur,Web,Referral,Basic,199,0,181,23.57,4,0,192.11,0,0.0,0
C000139,38,Male,Lucknow,Web,Organic,Basic,199,0,0,0.0,1,0,0.0,0,0.0,1
C000140,26,Male,Delhi,Android,Organic,Premium,999,1,213,29.25,9,0,1032.88,1,12.55,0
C000141,30,Male,Surat,iOS,Partner,Standard,499,1,219,28.62,4,0,491.38,0,0.0,0
C000142,34,Female,Surat,iOS,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000143,22,Male,Surat,iOS,Ads,Standard,499,1,223,26.2,3,0,491.95,0,0.0,0
C000144,22,Male,Mumbai,Android,Ads,Basic,199,1,202,29.6,3,0,193.14,0,0.0,0
C000145,30,Male,Indore,iOS,Referral,Premium,999,1,219,28.93,4,0,1046.15,1,20.25,0
C000146,31,Female,Mumbai,Android,Organic,Basic,199,1,231,20.17,2,0,195.76,0,0.0,0
C000147,36,Male,Jaipur,iOS,Partner,Premium,999,1,197,26.48,0,0,950.85,0,0.0,0
C000148,38,Male,Mumbai,Web,Ads,Standard,499,1,224,28.84,10,0,489.58,0,0.0,0
C000149,21,Female,Hyderabad,iOS,Organic,Basic,199,1,256,27.09,1,0,194.25,1,21.34,0
C000150,23,Male,Mumbai,Android,Organic,Standard,499,0,216,24.71,6,0,492.15,0,0.0,0
C000151,22,Male,Vadodara,iOS,Organic,Basic,199,1,191,29.62,2,0,200.72,0,0.0,0
C000152,46,Female,Lucknow,Android,Organic,Standard,499,1,170,20.88,9,0,490.19,0,0.0,0
C000153,30,Male,Thane,iOS,Partner,Premium,999,1,225,24.75,3,0,1047.3201,0,0.0,0
C000154,32,Female,Ghaziabad,iOS,Organic,Basic,199,0,24,3.17,5,0,206.0,0,0.0,1
C000155,32,Male,Hyderabad,Android,Partner,Premium,999,1,218,26.33,0,0,951.6,0,0.0,0
C000156,24,Female,Ghaziabad,Android,Ads,Basic,199,1,218,26.48,1,0,195.69,0,0.0,0
C000157,47,Male,Indore,iOS,Organic,Basic,199,1,195,24.15,6,0,196.19,0,0.0,0
C000158,36,Female,Chennai,Android,Organic,Standard,499,1,160,20.78,3,0,510.36,0,0.0,0
C000159,32,Male,Thane,Web,Ads,Standard,499,0,187,23.34,1,1,0.0,0,0.0,0
C000160,20,Male,Thane,Android,Referral,Basic,199,1,218,19.91,4,0,207.04,0,0.0,0
C000161,20,Female,Bhopal,Android,Partner,Basic,199,1,179,18.36,0,0,193.49,0,0.0,0
C000162,28,Other,Bhopal,iOS,Referral,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000163,25,Male,Hyderabad,iOS,Ads,Standard,499,1,171,23.42,0,0,475.21,0,0.0,0
C000164,21,Female,Jaipur,iOS,Organic,Standard,499,1,174,22.44,1,0,523.74,0,0.0,0
C000165,28,Male,Mumbai,iOS,Partner,Basic,199,1,197,24.44,5,0,208.17,0,0.0,0
C000166,29,Female,Chennai,Android,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000167,33,Male,Jaipur,iOS,Ads,Premium,999,1,217,26.75,2,0,952.4,0,0.0,0
C000168,26,Female,Ghaziabad,Android,Organic,Premium,999,1,206,24.52,2,0,1017.95,0,0.0,0
C000169,21,Male,Chennai,Android,Referral,Standard,499,0,183,22.39,1,0,523.67,0,0.0,0
C000170,22,Male,Hyderabad,Android,Referral,Premium,999,1,218,27.34,3,0,970.66,0,0.0,0
C000171,44,Male,Bhopal,Android,Ads,Premium,999,1,159,22.1,3,0,954.75,0,0.0,0
C000172,19,Male,Delhi,Android,Ads,Premium,999,1,213,27.32,4,0,990.37,0,0.0,0
C000173,35,Female,Bhopal,Android,Partner,Basic,199,0,7,2.91,0,0,0.0,0,0.0,1
C000174,37,Other,Patna,Web,Organic,Basic,199,1,165,22.07,6,0,193.24,1,2.76,0
C000175,30,Female,Delhi,Android,Ads,Standard,499,0,214,22.12,0,0,508.39,0,0.0,0
C000176,49,Male,Bhopal,Android,Organic,Standard,499,0,210,22.42,0,0,498.93,0,0.0,0
C000177,37,Male,Mumbai,iOS,Organic,Premium,999,0,185,21.37,4,0,1007.89,0,0.0,0
C000178,50,Female,Bhopal,Android,Partner,Basic,199,1,214,31.57,0,0,189.19,0,0.0,0
C000179,25,Other,Bangalore,Android,Ads,Premium,999,1,203,30.93,1,0,984.47,0,0.0,0
C000180,25,Male,Thane,Android,Referral,Basic,199,0,0,0.0,3,0,0.0,0,0.0,1
C000181,37,Female,Surat,Android,Ads,Premium,999,1,186,21.65,6,1,0.0,0,0.0,0
C000182,29,Other,Lucknow,Android,Referral,Basic,199,0,48,7.5,10,0,206.36,1,26.02,1
C000183,48,Female,Visakhapatnam,Android,Ads,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000184,35,Male,Hyderabad,Web,Organic,Premium,999,1,190,21.52,2,0,993.18,0,0.0,0
C000185,21,Male,Visakhapatnam,Android,Partner,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000186,18,Female,Hyderabad,Android,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000187,31,Female,Vadodara,iOS,Ads,Standard,499,0,205,24.26,1,0,499.84,0,0.0,0
C000188,31,Male,Mumbai,Android,Ads,Premium,999,1,182,20.78,5,1,0.0,0,0.0,0
C000189,35,Male,Indore,Android,Organic,Standard,499,1,209,23.96,5,0,510.55,0,0.0,0
C000190,44,Female,Surat,iOS,Organic,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000191,42,Male,Pune,Web,Referral,Premium,999,1,175,19.21,0,0,949.32,1,10.54,0
C000192,26,Male,Visakhapatnam,iOS,Organic,Standard,499,0,200,22.32,1,0,476.79,0,0.0,0
C000193,19,Female,Hyderabad,Android,Ads,Standard,499,1,195,22.17,1,0,478.46,0,0.0,0
C000194,19,Female,Lucknow,Web,Ads,Standard,499,1,154,20.35,10,0,504.18,0,0.0,0
C000195,24,Female,Visakhapatnam,Android,Ads,Basic,199,0,179,20.4,1,1,0.0,0,0.0,0
C000196,28,Male,Hyderabad,Android,Referral,Standard,499,1,186,21.79,4,0,512.05,0,0.0,0
C000197,35,Female,Vadodara,Android,Partner,Basic,199,1,237,25.6,1,0,204.86,0,0.0,0
C000198,23,Female,Patna,iOS,Organic,Basic,199,0,174,20.24,1,0,198.25,1,24.83,0
C000199,34,Male,Visakhapatnam,Android,Ads,Basic,199,0,220,24.21,1,0,196.57,1,5.73,0
C000200,35,Female,Kolkata,iOS,Organic,Basic,199,1,173,22.94,6,0,207.86,0,0.0,0
C000201,33,Male,Pune,Web,Ads,Standard,499,1,233,32.82,2,0,474.75,0,0.0,0
C000202,20,Male,Kolkata,Android,Ads,Standard,499,1,167,20.57,9,0,501.14,0,0.0,0
C000203,36,Male,Kanpur,iOS,Organic,Standard,499,1,191,26.61,6,0,506.35,0,0.0,0
C000204,52,Male,Jaipur,Android,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000205,34,Male,Patna,Android,Ads,Premium,999,1,196,26.32,2,0,994.84,0,0.0,0
C000206,18,Female,Delhi,Android,Organic,Standard,499,1,203,28.19,0,0,519.27,0,0.0,0
C000207,44,Male,Visakhapatnam,iOS,Organic,Basic,199,0,18,3.95,3,0,0.0,1,54.38,1
C000208,24,Other,Mumbai,Android,Partner,Standard,499,1,171,23.75,1,0,478.66,1,28.12,0
C000209,54,Female,Jaipur,iOS,Organic,Basic,199,0,42,6.87,3,0,197.95,0,0.0,1
C000210,33,Male,Kolkata,Web,Ads,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000211,18,Male,Delhi,Web,Organic,Standard,499,0,193,23.29,2,0,491.66,0,0.0,0
C000212,18,Female,Kolkata,Android,Partner,Basic,199,1,200,26.79,3,0,192.12,0,0.0,0
C000213,47,Female,Jaipur,Android,Organic,Standard,499,0,193,22.84,9,0,493.97,0,0.0,0
C000214,43,Male,Bangalore,Android,Ads,Standard,499,1,218,20.52,5,0,487.67,0,0.0,0
C000215,54,Male,Bhopal,iOS,Ads,Standard,499,0,0,0.0,0,0,0.0,0,0.0,1
C000216,32,Female,Thane,Web,Partner,Basic,199,0,235,24.09,6,0,200.49,0,0.0,0
C000217,31,Male,Kanpur,iOS,Referral,Standard,499,1,165,21.93,2,0,497.21,0,0.0,0
C000218,28,Female,Ahmedabad,iOS,Organic,Basic,199,1,163,20.32,0,1,0.0,0,0.0,0
C000219,25,Female,Kolkata,Android,Referral,Standard,499,1,122,15.63,5,0,501.06,0,0.0,0
C000220,28,Male,Bangalore,iOS,Referral,Basic,199,1,159,21.43,0,0,190.72,1,35.81,0
C000221,34,Male,Hyderabad,Android,Partner,Standard,499,0,256,29.41,1,0,517.64,0,0.0,0
C000222,23,Male,Lucknow,Android,Partner,Basic,199,0,195,27.42,1,0,204.23,0,0.0,0
C000223,18,Female,Indore,Web,Ads,Standard,499,1,187,24.09,1,0,504.46,0,0.0,0
C000224,33,Male,Thane,iOS,Referral,Basic,199,1,193,26.0,9,0,190.59,0,0.0,0
C000225,23,Male,Pune,Android,Ads,Basic,199,0,189,27.04,0,0,204.67,0,0.0,0
C000226,18,Female,Pune,Android,Ads,Basic,199,0,200,24.28,0,0,191.35,0,0.0,0
C000227,37,Male,Ahmedabad,Android,Organic,Basic,199,1,243,30.16,5,0,207.24,1,12.41,0
C000228,20,Female,Lucknow,iOS,Organic,Standard,499,0,227,24.94,4,0,503.23,0,0.0,0
C000229,38,Female,Vadodara,Android,Organic,Basic,199,1,170,24.18,1,0,201.9,0,0.0,0
C000230,38,Male,Vadodara,Web,Partner,Basic,199,0,256,30.64,3,0,194.44,0,0.0,0
C000231,34,Female,Delhi,Android,Organic,Basic,199,0,4,1.64,4,0,199.79,1,44.01,1
C000232,55,Female,Thane,Android,Organic,Standard,499,0,206,23.79,3,0,518.24,0,0.0,0
C000233,30,Male,Mumbai,Android,Organic,Premium,999,0,206,19.92,0,0,1006.16,0,0.0,0
C000234,29,Male,Lucknow,Android,Ads,Basic,199,1,162,22.43,2,0,207.69,0,0.0,0
C000235,38,Male,Kolkata,iOS,Partner,Basic,199,1,237,22.73,0,0,189.35,0,0.0,0
C000236,31,Female,Nagpur,iOS,Referral,Standard,499,0,244,28.77,4,0,488.89,0,0.0,0
C000237,43,Male,Lucknow,Android,Organic,Premium,999,1,220,27.85,4,0,1013.4,0,0.0,0
C000238,19,Other,Kanpur,Android,Partner,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000239,19,Female,Kolkata,iOS,Organic,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000240,39,Male,Kolkata,Android,Partner,Basic,199,0,47,5.35,10,0,199.15,1,58.78410000000031,1
C000241,20,Female,Mumbai,Android,Organic,Standard,499,1,213,26.64,5,0,503.86,0,0.0,0
C000242,38,Male,Kanpur,Android,Referral,Premium,999,0,34,6.31,9,0,971.56,0,0.0,1
C000243,35,Female,Lucknow,iOS,Organic,Standard,499,1,193,19.56,3,0,491.43,0,0.0,0
C000244,25,Female,Indore,Android,Partner,Basic,199,0,153,20.18,0,0,203.61,0,0.0,0
C000245,35,Male,Thane,Android,Organic,Premium,999,0,207,27.41,1,0,1032.02,0,0.0,0
C000246,19,Male,Hyderabad,iOS,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000247,22,Female,Mumbai,Web,Partner,Basic,199,0,0,0.0,0,0,0.0,0,0.0,1
C000248,29,Female,Ahmedabad,Android,Organic,Basic,199,1,227,29.11,2,0,206.71,1,37.94,0
C000249,32,Female,Bangalore,Android,Referral,Premium,999,1,191,23.14,3,0,963.73,0,0.0,0
C000250,28,Male,Indore,Android,Referral,Premium,999,1,144,15.59,2,0,1001.99,0,0.0,0
C000251,36,Male,Visakhapatnam,Android,Ads,Standard,499,1,195,21.53,2,0,507.75,0,0.0,0
C000252,35,Male,Delhi,Android,Ads,Standard,499,1,181,20.56,6,0,480.05,2,21.88,0
C000253,47,Female,Thane,iOS,Partner,Basic,199,0,170,20.4,0,0,205.12,0,0.0,0
C000254,31,Male,Kolkata,Web,Partner,Standard,499,1,193,21.29,3,0,493.76,0,0.0,0
C000255,43,Male,Chennai,iOS,Ads,Basic,199,1,136,18.96,1,0,206.76,0,0.0,0
C000256,41,Female,Indore,Android,Organic,Premium,999,0,211,23.73,5,0,1005.33,0,0.0,0
C000257,54,Female,Vadodara,iOS,Organic,Basic,199,1,212,24.19,0,0,196.91,0,0.0,0
C000258,30,Male,Jaipur,Android,Organic,Premium,999,0,0,0.0,0,0,0.0,0,0.0,1
C000259,27,Male,Ahmedabad,Android,Ads,Basic,199,1,224,25.22,2,0,194.78,0,0.0,0
C000260,44,Female,Bangalore,Web,Partner,Standard,499,1,192,23.53,0,0,522.27,0,0.0,0
C000261,35,Male,Patna,Web,Referral,Standard,499,1,216,28.55,2,1,0.0,0,0.0,0
C000262,44,Male,Ahmedabad,Android,Referral,Premium,999,1,189,28.91,0,0,1043.27,0,0.0,0
C000263,39,Male,Bhopal,Android,Ads,Standard,499,1,206,23.47,5,0,523.05,0,0.0,0
